No.,Name,Pos.,Ht.,Wt.,Yr.,Exp,B/T,Hometown,High School,Previous School,University
0,Cade Arrambide,C,"6'3""",204,Sophomore,1L,R-R,"Tomball, Texas",Tomball HS,–,LSU
1,Chris Stanfield,OF,"6'2""",195,Senior,1L,R-R,"Tallahassee, Fla.",Chiles HS,Auburn,LSU
4,Steven Milam,INF,"5'8""",177,Junior,2L,S-R,"Las Cruces, N.M.",Centennial HS,–,LSU
5,Tanner Reaves,INF,"6'1""",165,5th-year Senior,1L,L-R,"Bonham, Texas",Bonham HS,Blinn College,LSU
6,Derek Curiel,OF,"6'2""",182,Sophomore,1L,L-L,"West Covina, Calif.",Orange Lutheran HS,–,LSU
7,Jake Brown,OF,"6'2""",205,Junior,2L,L-L,"Sulphur, La.",Sulphur HS,–,LSU
8,Gavin Guidry,RHP,"6'2""",182,Redshirt Junior,3L,R-R,"Lake Charles, La.",Barbe HS,–,LSU
9,William Schmidt,RHP,"6'4""",188,Sophomore,1L,R-R,"Baton Rouge, La.",Catholic HS,–,LSU
10,Brayden Simpson,INF,"6'1""",190,Senior,TR,R-R,"Moseley, Va.",Cosby HS,High Point,LSU
11,John Pearson,OF/3B,"6'0""",248,Sophomore,1L,R-R,"West Monroe, La.",West Monroe HS,–,LSU
13,Edward Yamin IV,C/1B,"6'5""",220,Redshirt Junior,1L,R-R,"West Sand Lake, N.Y.",La Salle Academy,Dayton,LSU
14,Daniel Harden,OF,"6'2""",205,Junior,JC,L-L,"Prairieville, La.",Catholic HS,McLennan CC,LSU
16,Ethan Clauss,INF,"6'2""",190,Freshman,HS,L-R,"Las Vegas, Nev.",Palo Verde HS,–,LSU
17,Mavrick Rizy,RHP,"6'9""",253,Sophomore,1L,R-R,"Fiskdale, Mass.",Worcester Academy,–,LSU
18,Mason Braun,OF/1B,"6'0""",195,Freshman,HS,L-L,"South Bend, Ind.",Penn HS,–,LSU
20,Casan Evans,RHP,"6'2""",194,Sophomore,1L,R-R,"Houston, Texas",St. Pius X HS,–,LSU
22,Cooper Moore,RHP,"6'1""",200,Junior,TR,R-R,"Bixby, Okla.",Bixby HS,Kansas,LSU
23,William Patrick,OF,"6'2""",200,Freshman,HS,R-R,"Monroe, La.",St. Frederick HS,–,LSU
24,Seth Dardar,INF,"6'2""",220,5th-year Senior,TR,L-R,"Mandeville, La.",Holy Cross HS,Kansas State,LSU
25,Omar Serna Jr.,C,"6'2""",225,Freshman,HS,R-R,"Houston, Texas",Lutheran South Academy,–,LSU
26,Zac Cowan,RHP,"5'11""",203,Senior,1L,S-R,"Blythewood, S.C.",Blythewood HS,Wofford,LSU
27,Jaden Noot,RHP,"6'4""",228,Redshirt Junior,2L,R-R,"Oak Park, Calif.",Sierra Canyon HS,–,LSU
28,Danny Lachenmayer,LHP,"6'3""",195,Sophomore,TR,R-L,"Eagan, Minn.",Eagan HS,North Dakota State,LSU
29,Cooper Williams,LHP,"6'4""",200,Sophomore,1L,L-L,"Alvin, Texas",Alvin HS,–,LSU
30,Dax Dathe,RHP,"6'3""",214,5th-year Senior,TR,R-R,"Round Rock, Texas",Stony Point HS,Angelo State,LSU
32,Jack Ruckert,INF,"6'1""",185,Freshman,HS,L-R,"Baton Rouge, La.",Catholic HS,–,LSU
33,Zach Yorke,INF,"6'2""",295,Senior,TR,L-R,"Campbell, Calif.",Mountain Ridge HS,Grand Canyon,LSU
34,Santiago Garcia,LHP,"6'0""",180,Junior,TR,L-L,"Las Cruces, N.M.",Centennial HS,Oregon,LSU
35,Reagan Ricken,RHP,"6'5""",220,Freshman,HS,R-R,"Temecula, Calif.",Great Oak HS,–,LSU
38,Ethan Plog,LHP,"6'1""",185,Sophomore,JC,L-L,"Green Bay, Wisc.",Bay Port HS,Iowa Western CC,LSU
39,Jonah Aase,LHP,"6'1""",190,Freshman,HS,L-L,"Ferndale, Wash.",Meridian HS,–,LSU
40,Grant Fontenot,RHP,"6'3""",225,5th-year Senior,1L,R-R,"Lafayette, La.",Lafayette HS,Texas,LSU
41,DJ Primeaux,LHP,"5'10""",201,Redshirt Junior,2L,L-L,"Baton Rouge, La.",Central HS,–,LSU
43,Connor Benge,RHP,"6'0""",194,Senior,1L,R-R,"Montgomery, Texas",Montgomery HS,Dallas Baptist,LSU
44,Trent Caraway,INF,"6'2""",203,Junior,TR,R-R,"Dana Point, Calif.",JSerra Catholic HS,Oregon State,LSU
45,Deven Sheerin,RHP,"6'5""",245,Redshirt Sophomore,1L,R-R,"Reading, Pa.",Exeter Township HS,Mount St. Mary’s,LSU
52,Zion Theophilus,RHP,"6'2""",196,Freshman,HS,L-R,"Cincinnati, Ohio",Moeller HS,–,LSU
97,Marcos Paz,RHP,"6'2""",220,Freshman,HS,R-R,"Carrollton, Texas",Hebron HS,–,LSU
