No.,Name,Position,Yr.,B/T,Ht.,Hometown,High School,Major / University
1,Zev Moore,UTL,Jr.,R/R,Jun-00,"Jerusalem, Israel",Horev,Mathematical Economics and Finance / MIT
2,Jack Finnegan,IF,So.,R/R,Jun-00,"Essex, Conn.",Valley Regional,Computer Science / MIT
3,Hanvin Lee,C,Fy.,R/R,11-May,"Porter Ranch, Calif.",Bishop Alemany,Mathematics and Computer Science / MIT
4,Cole Foster,P,Jr.,L/L,1-Jun,"Austin, Texas",Westlake,Mathematics and Computer Science / MIT
5,Tyler Godfrey,C/IF,Gr.,R/R,10-May,"Rowley, Mass.",Triton,Mechanical Engineering / MIT
6,Tye Phoenix,P,So.,R/R,2-Jun,"Naples, Fla.",Saint John Neumann Catholic,Undecided / MIT
7,Reed Tubbs,IF,Sr.,R/R,1-Jun,"Pflugerville, Texas",Hendrickson,Chemical Engineering / MIT
8,Ajinkya Gundaria,P,Sr.,R/R,7-May,"Alpharetta, Ga.",Alpharetta,Economics and Mathematics / MIT
9,Teddy Schoenfeld,OF,Gr.,L/R,11-May,"Boulder, Colo.",Boulder,Computer Science and Neuroscience / MIT
10,Matthew Spenner,P,Jr.,R/R,1-Jun,"Darien, Conn.",Hopkins School,Mathematics and Finance / MIT
11,Maximo Del Pino,OF,So.,R/R,1-Jun,"New York, N.Y.",Fordham Preparatory School,Mathematics and Finance / MIT
12,Owen Malone,UTL,Jr.,R/R,1-Jun,"Portsmouth, R.I.",Portsmouth,Mathematics and Computer Science / MIT
13,Jonathan Freedman,P,Fy.,R/R,1-Jun,"San Diego, Calif.",La Jolly Country Day,Computer Science and Microbiology / MIT
14,Ben Salomon,P,Fy.,R/R,10-May,"New York, N.Y.",Columbia Grammar and Preparatory School,Finance / MIT
15,Brock Billingsley,C/IF,Fy.,L/R,Jun-00,"Springdale, Ark.",Shiloh Christian School,Undecided / MIT
17,Eric Mangelsdorf,P,Fy.,R/R,3-Jun,"Pelham, N.Y.",Iona Preparatory School,Undecided / MIT
18,Eitan Moore,OF,Jr.,R/R,10-May,"Jerusalem, Israel",Horev,Economics and Finance / MIT
20,Louis Hernandez,IF,So.,R/R,4-Jun,"Glastonbury, Conn.",The Loomis Chaffee School,Artificial Intelligence and Decision Making / MIT
21,Mason Estrada,P,So.,L/R,Jun-00,"Covington, La.",Covington,Aerospace Engineering / MIT
22,Ethan Siegel,P,Sr.,L/L,4-Jun,"Austin, Texas",Westlake,Computer Science and Engineering / MIT
23,Brian Rapanan,P,Sr.,R/R,7-May,"Gurnee, Ill.",Warren Township,Artificial Intelligence and Decision Making / MIT
24,Jimmy Moore,P,Sr.,R/R,2-Jun,"Los Gatos, Calif.",Los Gatos,Computer Science and Engineering / MIT
25,Malachi Soqui,IF,Sr.,L/L,9-May,"Castaic, Calif.",Hart,"Computer Science, Economics and Data Science & Business Analytics / MIT"
26,CJ McCarthy,OF,Gr.,L/R,Jun-00,"Pawling, N.Y.",Trinity-Pawling School,Mathematics and Economics / MIT
27,John Dwyer,C,So.,R/R,2-Jun,"Northport, N.Y.",Northport,Engineering / MIT
28,Phillip Hood,P/C,Sr.,R/R,11-May,"Grapevine, Texas",Grapevine,Aerospace Engineering and Political Science / MIT
30,John Spivey,OF,Fy.,R/R,11-May,"Saint Louis, Mo.",Saint Louis Priory School,Undecided / MIT
32,Joey Severson,IF,Fy.,R/R,1-Jun,"Western Springs, Ill.",Lyons Township,Mathematics and Computer Science / MIT
34,Jonathan Berger,P,Gr.,R/R,7-Jun,"Mount Vernon, N.Y.",Tuckahoe,"Computer Science, Data Science, and Economics / MIT"
35,Chase Rubin,P,Jr.,R/R,6-Jun,"Arlington, Va.",Yorktown,Mathematics with Computer Science / MIT
