No.,Name,Pos.,B/T,Ht.,Wt.,Yr.,Hometown / High School,University
1,Noah Ruiz,INF,,"5'10""",180,Gr.,"San Diego, Calif. / Maranatha Christian Schools",Northwestern
4,Jack Lausch,OF,,"6'2""",209,Sr.,"Chicago, Ill. / Brother Rice High School",Northwestern
5,Griffin Mills,OF,,"6'1""",200,Jr.,"Morristown, N.J. / Delbarton",Northwestern
6,Jack Counsell,INF,,"6'0""",180,Jr.,"Whitefish Bay, Wis. / Whitefish Bay",Northwestern
7,Marty Kaplan,OF,,"6'3""",185,Sr.,"Santa Monica, Calif. / Harvard-Westlake",Northwestern
8,Owen McElfatrick,INF,,"6'0""",180,Sr.,"Tampa, Fla. / Berkeley Preparatory",Northwestern
9,Nick Barron,INF,,"6'3""",215,Fy.,"Harwich Port, Mass. / IMG Academy",Northwestern
10,Joshua Ramos,C,,"6'1""",190,Jr.,"West Palm Beach, Fla. / American Heritage",Northwestern
12,Jackson Freeman,OF,,"6'2""",185,Jr.,"Ladera Ranch, Calif. / Tesoro",Northwestern
14,Drew Dickson,RHP,,"6'3""",225,Sr.,"Zionsville, Ind. / Zionsville",Northwestern
15,Charlie Caruso,C,,"6'1""",190,So.,"Pasadena, Calif. / JSerra Catholic",Northwestern
16,Sam Hliboki,RHP,,"6'3""",205,Gr.,"Los Angeles, Calif. / Harvard-Westlake",Northwestern
17,Ryan Kucherak,INF,,"6'1""",195,Jr.,"Chandler, Ariz. / Hamilton",Northwestern
18,Noah Brocklebank,INF,,"6'3""",195,Fy.,"Atlanta, Ga. / Druid Hills",Northwestern
19,Jake Yang,INF,,"6'0""",170,Fy.,"Doylestown, Pa. / Central Bucks-South",Northwestern
21,Jack Grunkemeyer,RHP,,"6'2""",215,So.,"Batesville, Ind. / Batesville",Northwestern
22,Carter Danz,UTL,,"6'3""",190,So.,"Newport Beach, Calif. / Corona Del Mar",Northwestern
23,Ryan Weaver,LHP,,"6'2""",200,Gr.,"Cary, Ill. / Cary-Grove",Northwestern
24,Christian Forniss,LHP,,"6'1""",200,So.,"Indianapolis, Ind. / Brebeuf Jesuit",Northwestern
26,Matthew Kouser,RHP,,"6'5""",225,So.,"Haddonfield, N.J. / St. Augustine Prep",Northwestern
27,Zach Carlson,OF,,"5'11""",190,So.,"South Jordan, Utah / Juan Diego Catholic",Northwestern
28,Jay Slater,C,,"6'0""",196,Fy.,"Downingtown, Pa. / Downingtown West Campus",Northwestern
29,James Whitaker,RHP,,"6'2""",200,Fy.,"Las Vegas, Nev. / Bishop Gorman",Northwestern
30,Garrett Shearer,RHP,,"6'3""",205,Jr.,"O'Fallon, Ill. / St. Louis University HS",Northwestern
31,Dominic DeLoreto,LHP/OF,,"6'3""",200,Fy.,"Atlantic Beach, Fla. / Episcopal",Northwestern
32,Chayce Kieck,RHP,,"6'2""",190,So.,"Jacksonville, Fla. / The Bolles School",Northwestern
33,Logan de Groot,OF,,"6'3""",210,So.,"Coto de Caza, Calif. / Santa Margarita Catholic",Northwestern
34,Charlie Kutz,LHP,,"6'4""",205,Gr.,"Dalton, Pa. / Wyoming Seminary",Northwestern
35,Sam Michel,LHP,,"6'1""",215,Fy.,"Gainesville, Va. / Battlefield",Northwestern
37,Alex Grant,LHP,,"6'4""",205,So.,"Avon, Conn. / Avon Old Farms",Northwestern
39,Jake Rifenburg,LHP,,"6'1""",190,Fy.,"Downers Grove, Ill. / Benet Academy",Northwestern
41,Tommy Bridges,RHP,,"5'11""",190,So.,"Los Angeles, Calif. / Harvard-Westlake",Northwestern
42,Masai Marshall,OF,,"6'3""",190,So.,"New York, N.Y. / Poly Prep",Northwestern
44,Colton Cravens,RHP,,"6'5""",210,Fy.,"Shepherdsville, Ky. / Trinity",Northwestern
55,Justin Fryer,LHP,,"6'0""",175,Fy.,"Norristown, Pa. / Perkiomen",Northwestern
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
