No.,Name,Pos.,B/T,Yr.,Ht.,Wt.,Hometown / High School,Previous School,University
1,Lee Ellis,INF,R/R,Jr.,"6'1""",179,"White Plains, MD / —",South Carolina,Ohio State
2,Henry Kaczmar,INF,L/R,Sr.,"5'10""",187,"Bath, OH / Walsh Jesuit",—,Ohio State
4,Alex Bemis,OF,R/R,Jr.,"5'11""",204,"Monroe, OH / —",Gannon University,Ohio State
5,Bryer Arview,INF,L/R,R-So.,"5'11""",179,"Bethalto, IL / —",John A. Logan College,Ohio State
6,Maddix Simpson,INF,R/R,So.,"6'1""",195,"Fort Myers, FL / Bishop Verot",—,Ohio State
7,Addison Binnie,OF,R/R,Jr.,"6'0""",206,"Clinton, IA / —",Kirkwood Community College,Ohio State
8,Noah Furcht,OF,R/R,Gr.,"6'1""",212,"Esko, MN / —",UNC Charlotte,Ohio State
9,Grant Mangrum,C,—,Gr.,"6'2""",207,"Sterlington, LA / —",McNeese State University,Ohio State
10,Zach Weber,RHP,R/R,Gr.,"6'2""",215,"Lebanon, OH / —",Ohio University,Ohio State
11,Miles Vandenheuvel,INF/RHP,R/R,Jr.,"6'2""",193,"Scottsdale, AZ / —",Eastern Arizona College,Ohio State
12,Gavin West,INF,R/R,Jr.,"6'1""",209,"Macon, GA / —",Gordon State College,Ohio State
14,Andrew Edrington,RHP,R/R,Jr.,"6'0""",190,"Cincinnati, OH / Princeton HS",—,Ohio State
15,Sahil Patel,LHP,L/L,R-Jr.,"6'0""",184,"Buford, GA / —",North Greenville University,Ohio State
16,Mason Eckelman,C,L/R,Jr.,"6'1""",223,"Broadview Heights, OH / Walsh Jesuit",—,Ohio State
17,Jack Cecil,RHP,R/R,Jr.,"6'0""",187,"Lebanon, OH / —",South Mountain Community College,Ohio State
19,Dane Harvey,1B,L/L,R-So.,"6'5""",285,"Warfordsburg, PA / —",Cowley County CC,Ohio State
20,Chris Domke,RHP,R/R,Jr.,"6'4""",214,"North Royalton, OH / —",Youngstown State,Ohio State
21,Jake Michalak,RHP,R/R,Jr.,"6'3""",217,"North Royalton, OH / North Royalton",—,Ohio State
24,Pierce Herrenbruck,RHP,R/R,Jr.,"6'2""",202,"Evansville, IN / —",Rend Lake College,Ohio State
25,Luke Carrell,LHP,R/L,R-Sr.,"6'2""",213,"Davis, CA / —",University of Oklahoma,Ohio State
26,Hunter Shaw,LHP,R/L,Sr.,"6'5""",213,"Chelsea, MI / —",Lansing Community College,Ohio State
28,Haven Fielder,1B,R/R,Fr.,"6'2""",243,"Windermere, FL / Pro5 Academy",—,Ohio State
29,Ryan Butler,RHP,R/R,Gr.,"6'2""",202,"Salem, VA / —",Liberty University,Ohio State
30,Nik Copenhaver,RHP,R/R,R-So.,"6'4""",224,"Hamilton, OH / —",Vanderbilt University,Ohio State
31,Caden Marcum,RHP,R/R,Jr.,"6'6""",166,"Paola, KS / —",Cloud County CC,Ohio State
34,CJ Reid,INF,L/R,Jr.,"6'0""",196,"Colorado Springs, CO / —",Hutchinson CC,Ohio State
35,Lincoln McVicker,RHP,R/R,Jr.,"6'5""",261,"Highlands Ranch, CO / —",Centralia College,Ohio State
36,Austin Rose,C,R/R,Fr.,"6'3""",221,"Newark, OH / Newark HS",—,Ohio State
38,Steven Cavaco,OF/1B,L/L,Fr.,"5'11""",185,"Huntsville, AL / Huntsville HS",—,Ohio State
41,Ryan Zamora,RHP,R/R,Jr.,"6'0""",211,"Elk Grove, CA / —",Sacramento City College,Ohio State
44,Alonzo Paul Jr.,C,R/R,Sr.,"5'9""",173,"Valparaiso, IN / Andrean HS",—,Ohio State
45,Douglas Bauer,RHP,R/R,Sr.,"6'3""",212,"Houston, TX / —",Tyler Junior College,Ohio State
47,Zak Sigman,RHP,R/R,Jr.,"5'10""",188,"Grove City, OH / Grove City HS",—,Ohio State
48,Gavin Kuzniewski,RHP,R/R,So.,"5'11""",189,"Fishers, IN / Fishers HS",—,Ohio State
51,Connor Fuhrer,RHP,R/R,Fr.,"6'2""",185,"Loveland, OH / Archbishop Moeller",—,Ohio State
52,Jude Fisher,RHP,R/R,Fr.,"6'2""",207,"Cleveland, OH / Pro5 Academy",—,Ohio State
53,Jacob Parr,OF,L/R,Fr.,"6'4""",208,"Lemont, IL / Lemont HS",—,Ohio State
54,Owen Graf,RHP,R/R,Fr.,"6'4""",206,"Toledo, OH / Anthony Wayne HS",—,Ohio State
55,Nick Sawyer,RHP,R/R,Jr.,"5'10""",181,"Upper Arlington, OH / —",Sacramento City College,Ohio State
