No.,Name,Pos.,B/T,Yr.,Ht.,Wt.,Hometown / High School,University
0,Isaac Yeager,RHP,L/R,Sr.,"6'6""",254,"Seattle, Wash. / Bishop Blanchet",Oregon State
1,Cooper Vance,INF,R/R,Sr.,"6'0""",196,"New Waterford, Ohio / Mohawk",Oregon State
2,Nyan Hayes,INF/OF,R/R,Sr.,"5'9""",165,"New Orleans, La. / Curtis",Oregon State
3,Mason Pike,RHP/INF,S/R,Fr.,"5'11""",208,"Puyallup, Wash. / Puyallup",Oregon State
4,Adam Haight,RHP/OF,R/R,So.,"6'2""",193,"Snohomish, Wash. / Cedar Park Christian",Oregon State
6,Easton Talt,OF,L/R,Sr.,"5'10""",175,"Everett, Wash. / Sunrise Mountain (AZ)",Oregon State
7,AJ Singer,INF,R/R,Sr.,"5'10""",171,"Glendale, Ariz. / Mountain Ridge",Oregon State
8,Dax Whitney,RHP,R/R,So.,"6'5""",201,"Blackfoot, Idaho / Blackfoot",Oregon State
9,Jace Miller,OF,R/R,R-Jr.,"6'0""",190,"Medford, Ore. / South Medford",Oregon State
10,Bryce Hubbard,C,L/R,Sr.,"6'0""",225,"Norcross, Ga. / Wesleyan",Oregon State
12,Tanner Douglas,LHP,L/L,Sr.,"6'2""",199,"Medford, Ore. / South Medford",Oregon State
13,Jacob Galloway,C,L/R,Sr.,"5'9""",163,"Camarillo, Calif. / Harvard-Westlake",Oregon State
14,Tyler Inge,INF,R/R,So.,"6'0""",176,"Brighton, Mich. / Detroit Country Day",Oregon State
15,Ryan VandenBrink,C/INF,R/R,So.,"6'1""",231,"West Linn, Ore. / West Linn",Oregon State
16,Eric Segura,RHP,R/R,Jr.,"6'2""",205,"Soledad, Calif. / Soledad",Oregon State
17,Ethan Porter,INF/OF,S/R,Fr.,"6'1""",208,"Huntington Beach, Calif. / Huntington Beach",Oregon State
19,Wyatt Queen,RHP,R/R,Jr.,"6'2""",203,"Marysville, Wash. / Lake Stevens",Oregon State
20,Bryson Glassco,INF,R/R,Jr.,"6'2""",187,"Spanish Springs, Nev. / Spanish Springs",Oregon State
21,Josh Proctor,INF,S/R,Fr.,"6'2""",222,"Altadena, Calif. / Maranatha / La Canada",Oregon State
22,Jacob Krieg,INF,R/R,Sr.,"6'5""",260,"Antioch, Calif. / Clayton Valley",Oregon State
24,Ethan Kleinschmit,LHP,L/L,Jr.,"6'3""",201,"Mount Angel, Ore. / John F. Kennedy",Oregon State
26,Eli Gries-Smith,OF,R/R,Sr.,"6'2""",192,"Cliffwood Beach, N.J. / Matawan Regional",Oregon State
27,Paul Vazquez,INF,R/R,So.,"6'3""",206,"Covina, Calif. / South Hills",Oregon State
28,Calvin Gregory,LHP,L/L,Fr.,"5'10""",183,"Lake Oswego, Ore. / Lakeridge",Oregon State
29,Albert Roblez,RHP,R/R,Sr.,"5'11""",221,"Moreno Valley, Calif. / Valley View",Oregon State
30,Trey Morris,LHP,L/L,Fr.,"6'2""",258,"Easton, Calif. / Washington Union",Oregon State
31,Trevor Kaiser,RHP,R/R,Fr.,"6'5""",218,"West Richland, Wash. / Hanford",Oregon State
32,AJ Hutcheson,RHP,L/R,Sr.,"5'11""",186,"Elk Grove, Calif. / Elk Grove",Oregon State
33,Noah Scott,RHP,R/R,Jr.,"6'4""",230,"Westminster, Colo. / Broomfield",Oregon State
34,Max Fraser,LHP,L/L,Jr.,"6'1""",199,"Camas, Wash. / Camas",Oregon State
35,Zach Kmatz,RHP,R/R,So.,"6'3""",228,"Albuquerque, N.M. / Sandia",Oregon State
36,Jack Giordano,RHP,R/R,So.,"6'1""",199,"San Diego, Calif. / Patrick Henry",Oregon State
40,Kameron Beck,INF,R/R,Fr.,"6'2""",216,"South Jordan, Utah / Bingham",Oregon State
43,Martin Serrano,C,L/R,So.,"6'3""",203,"Pocatello, Idaho / Pocatello",Oregon State
44,Tyler Bellerose,RHP,R/R,Fr.,"6'0""",187,"Huntington Beach, Calif. / Huntington Beach",Oregon State
50,Zach Edwards,RHP,R/R,So.,"6'2""",224,"Riverton, Utah / Riverton",Oregon State
51,Connor Mendez,RHP,R/R,Jr.,"6'0""",203,"Pasco, Wash. / Chiawana",Oregon State
