No.,Name,B/T,Pos.,Ht.,Wt.,Yr.,Hometown / High School,University
1,Isaac Lamson,R/R,INF,6’0”,185,So.,"Stow, Mass. / Phillips Academy Andover",Princeton
2,James Beasley,R/R,P,6’7”,225,So.,"Herndon, Va. / Herndon",Princeton
3,Jake Koonin,R/R,INF,6’0”,195,Sr.,"Winston Salem, N.C. / Mount Tabor",Princeton
4,Joseph Zorc,R/R,INF,6’0”,190,So.,"Sterling, Va. / Gonzaga College HS",Princeton
5,Bryce Gayan,R/R,OF,6’1”,195,Jr.,"Seattle, Wash. / Lakeside School",Princeton
6,Justin Kim,R/R,P,6’0”,175,Sr.,"Cypress, Texas / Bridgeland",Princeton
7,Tommy Googins,R/R,INF,6’3”,195,Jr.,"Cincinnati, Ohio / Saint Xavier",Princeton
8,Charlie Wolf,R/R,P,6’1”,180,Jr.,"Chicago, Ill. / St. Ignatius College Prep",Princeton
10,Brady Kaufman,R/R,P/UTL,6’2”,190,Fr.,"Dresden, Ohio / Tri-Valley",Princeton
11,Dylan Zdunek,R/R,C/UTL,6’0”,200,Jr.,"San Gabriel, Calif. / Maranatha",Princeton
13,Will Sword,R/R,P,6’0”,205,Sr.,"Cary, N.C. / Thales Academy",Princeton
14,Bennett Crerar,R/R,INF,6’4”,200,Fr.,"Cheshire, Conn. / Cheshire",Princeton
15,Kasey Gilman,R/R,P,5’11”,190,Jr.,"Staten Island, N.Y. / Monsignor Farrell",Princeton
16,Tomas Cernius,L/L,1B/OF,6’4”,210,Fr.,"Yorba Linda, Calif. / Servite",Princeton
16,Christian Clarke,R/R,OF,6’0”,205,Fr.,"Wesley Chapel, Fla. / Carrollwood Day School",Princeton
17,Grant Werdesheim,R/R,INF,6’2”,195,So.,"Studio City, Calif. / Sierra Canyon",Princeton
18,Nick Shenefelt,L/R,UTL,6’2”,205,So.,"Birmingham, Mich. / Seaholm",Princeton
19,Jake Bold,R/R,C,6’0”,215,Sr.,"La Jolla, Calif. / La Jolla Country Day",Princeton
20,Jackson Baldrate,L/L,P,6’2”,175,Jr.,"McLean, Va. / Gonzaga College",Princeton
22,Jay Mentink,L/R,OF,5’11”,195,Jr.,"Lake Tapps, Wash. / Sumner",Princeton
23,Liam Kinneen,R/R,P,6’4”,210,So.,"Lexington, Mass. / Boston College HS",Princeton
24,Will Robbins,R/R,C,6’2”,200,So.,"Hillsborough, Calif. / Burlingame",Princeton
25,Parker Codington,R/R,P,6’1”,210,Fr.,"Virginia Beach, Va. / Norfolk Academy",Princeton
26,Vince Menard,R/R,P,6’3”,210,Fr.,"Newport Beach, Calif. / Corona Del Mar",Princeton
28,Sean Episcope,R/R,P,6’0”,210,Jr.,"Chicago, Ill. / Latin School of Chicago",Princeton
30,Ethan Hsu,R/R,P,6’4”,205,Sr.,"San Ramon, Calif. / Dougherty Valley",Princeton
33,Elliott Eaton,R/R,P,6’5”,210,Jr.,"Washington, D.C. / St. Albans",Princeton
34,Jake Kernodle,R/R,INF,6’4”,215,Jr.,"Charlotte, N.C. / Charlotte Catholic",Princeton
35,Joe Montembeau,L/R,UTL,6’1”,185,Fr.,"Brookhaven, Ga. / Marist",Princeton
45,Ryan Penney,R/R,P,6’4”,200,Fr.,"Scottsdale, Ariz. / Chaparral HS",Princeton
