No.,Name,Pos.,B/T,Yr.,Ht.,Wt.,Hometown / High School,University
1,JJ Moran,Infield,R/R,Sophomore,2-Jun,216,"San Diego, Calif. / San Marcos",Stanford
2,Brock Sell,Utility,L/R,Freshman,1-Jun,176,"Stockton, Calif. / Tokay",Stanford
3,Rintaro Sasaki,First Base,L/R,Sophomore,1-Jun,270,"Hanamaki, Iwate / Hanamaki-Higashi",Stanford
4,Tatum Marsh,Outfield,R/R,Sophomore,1-Jun,218,"San Jose, Calif. / Valley Christian",Stanford
5,Rashad Hayes,Infield,R/R,Freshman,1-Jun,175,"Oakland, Calif. / Bishop O'Dowd",Stanford
6,Jimmy Nati,Infield,R/R,Senior,2-Jun,210,"Sydney, Australia / Oakhill College",Stanford
10,Charlie Bates,Infield,L/R,Sophomore,1-Jun,195,"Palo Alto, Calif. / Palo Alto",Stanford
11,Luke Lavin,Catcher/1B,L/R,Junior,4-Jun,218,"Laguna Beach, Calif. / Santa Margarita Catholic",Stanford
12,Toran O'Harran,RHP,R/R,Senior,1-Jun,210,"Rocklin, Calif. / Rocklin",Stanford
13,Ethan Hott,Outfield,R/R,Senior,10-May,190,"Paradise Valley, Ariz. / Chaparral",Stanford
14,Sebastian David,Infield,R/R,Junior,1-Jun,204,"Medina, Wash. / Lakeside",Stanford
15,Eric Jeon,Infield,R/R,Junior,10-May,195,"Fullerton, Calif. / La Mirada",Stanford
16,Brandon Larson,First Base,L/R,Senior,6-Jun,243,"Rocklin, Calif. / Rocklin",Stanford
18,Kassius Thomas,RHP,R/R,Senior,2-Jun,207,"Los Angeles, Calif. / Sierra Canyon",Stanford
19,Teddy Tokheim,INF/RHP,R/R,Freshman,3-Jun,215,"Seattle, Wash. / Lakeside",Stanford
21,Brock Ketelsen,OF/LHP,L/L,Freshman,4-Jun,206,"Scotts Valley, Calif. / Valley Christian",Stanford
22,Cort MacDonald,Outfield,L/L,Senior,1-Jun,197,"Arlington, Texas / Pantego Christian Academy",Stanford
23,Parker Warner,RHP,R/R,Sophomore,2-Jun,197,"Livermore, Calif. / Granada",Stanford
24,Aidan Keenan,RHP,R/R,Junior,2-Jun,202,"Morgan Hill, Calif. / Live Oak",Stanford
25,Nick Dugan,RHP,R/R,Senior,2-Jun,220,"Eureka, Calif. / St. Bernard’s Academy",Stanford
26,Sam Garewal,LHP,L/L,Senior,5-Jun,243,"San Diego, Calif. / Canyon Crest Academy",Stanford
27,Brady Reynolds,Outfield,L/R,Junior,1-Jun,216,"Bakersfield, Calif. / Liberty",Stanford
28,Philip Cheong,OF/INF,R/R,Freshman,10-May,176,"Richmond Hill, Ontario / Bill Crothers",Stanford
30,Ryan Speshyock,RHP,R/R,Junior,Jun-00,223,"Goleta, Calif. / Dos Pueblos",Stanford
33,Henry McDonald,Catcher,R/R,Sophomore,2-Jun,192,"South Pasadena, Calif. / Polytechnic",Stanford
34,Trevor Moore,RHP,R/R,Senior,1-Jun,221,"Golden, Colo. / Mullen",Stanford
36,Braden Guentz,RHP,R/R,Junior,4-Jun,213,"Clovis, Calif. / Buchanan",Stanford
37,Dominic Panella,RHP,R/R,Sophomore,1-Jun,206,"San Jose, Calif. / Leigh",Stanford
38,Jack Svinth,RHP,R/R,Junior,1-Jun,193,"Rancho Santa Margarita, Calif. / Santa Margarita Catholic",Stanford
40,Ben Reimers,RHP,R/R,Junior,4-Jun,222,"Aliso Viejo, Calif. / JSerra Catholic",Stanford
41,Liam Golden,RHP,R/R,Sophomore,5-Jun,207,"Sacramento, Calif. / Christian Brothers",Stanford
42,Christian Lim,LHP,L/L,Junior,10-May,206,"Nashville, Tenn. / Montgomery Bell Academy",Stanford
43,Mike Erspamer,LHP,L/L,Freshman,Jun-00,212,"San Clemente, Calif. / San Clemente",Stanford
44,Quinten Marsh,OF/LHP,L/L,Freshman,2-Jun,217,"San Jose, Calif. / Valley Christian",Stanford
45,Cohen Gomez,RHP,R/R,Sophomore,3-Jun,225,"Anaheim Hills, Calif. / Canyon",Stanford
46,Andrew Shaw,LHP,L/L,Freshman,3-Jun,201,"Woodstock, Ga. / Sequoyah",Stanford
47,Nolan Stoll,Catcher,R/R,Freshman,4-Jun,185,"Stevenson Ranch, Calif. / West Ranch",Stanford
48,Colt Peterson,RHP,R/R,Freshman,Jun-00,181,"Orange, Calif. / Orange Lutheran",Stanford
49,Austin Steeves,LHP,L/L,Sophomore,Jun-00,206,"Petaluma, Calif. / Casa Grande",Stanford
50,David Wiser,RHP,R/R,Freshman,3-Jun,207,"Elk Grove, Calif. / Bradshaw Christian",Stanford
