No.,Name,Pos.,B/T,Yr.,Ht.,Wt.,Hometown / High School,University
1,Roch Cholowsky,INF,R/R,Jr.,"6'2""",202,"Chandler, Ariz. / Hamilton HS",UCLA
2,Grant Gray,INF,R/R,R-So.,"6'4""",205,"Norco, Calif. / Norco HS",UCLA
3,Michael Cunningham,OF,R/R,Gr.,"6'0""",200,"Los Angeles, Calif. / San Francisco State",UCLA
4,Phoenix Call,INF,R/R,Jr.,"6'0""",190,"Porter Ranch, Calif. / Calabasas HS",UCLA
5,Aidan Espinoza,OF,L/L,R-So.,"5'11""",195,"Huntington Beach, Calif. / Huntington Beach HS",UCLA
6,Dominic Cadiz,INF,R/R,Fr.,"6'1""",220,"Sherman Oaks, Calif. / Notre Dame HS",UCLA
7,Roman Martin,INF,R/R,Jr.,"6'2""",208,"Whittier, Calif. / Servite HS",UCLA
8,Kasen Khansarinia,C,R/R,So.,"6'2""",200,"Chino Hills, Calif. / San Dimas HS",UCLA
9,Will Gasparino,OF,R/R,Jr.,"6'6""",220,"Los Angeles, Calif. / Texas",UCLA
10,Ian May,LHP,R/L,R-Sr.,"6'2""",190,"Laguna Niguel, Calif. / California",UCLA
11,Payton Brennan,OF,L/R,R-Jr.,"6'3""",215,"Rocklin, Calif. / Rocklin HS",UCLA
12,Zach Strickland,RHP,S/R,Fr.,"6'2""",200,"Arcadia, Calif. / Maranatha HS",UCLA
14,Landon Stump,RHP,R/R,Jr.,"6'3""",212,"Morgan Hill, Calif. / Live Oak HS",UCLA
15,Jarrod Hocking,OF,R/R,Sr.,"5'9""",175,"Anaheim Hills, Calif. / Servite HS",UCLA
16,Jake Swenson,RHP,R/R,Jr.,"6'4""",188,"Camas, Wash. / Linfield University",UCLA
18,Wylan Moss,RHP,R/R,So.,"6'3""",200,"Tustin, Calif. / Mater Dei HS",UCLA
19,David Mysza,INF,L/R,So.,"5'10""",185,"Sierra Madre, Calif. / La Salle HS",UCLA
20,Justin Lee,RHP,R/R,Jr.,"6'3""",210,"Los Angeles, Calif. / Notre Dame HS",UCLA
21,Jack O'Connor,RHP,R/R,Sr.,"6'3""",210,"Palos Verdes, Calif. / Palos Verdes HS",UCLA
24,Logan Reddemann,RHP,R/R,Jr.,"6'2""",185,"Palmdale, Calif. / San Diego",UCLA
25,CJ Bott,RHP,R/R,So.,"6'2""",200,"Scottsdale, Ariz. / Notre Dame Prep HS",UCLA
26,Aiden Aguayo,INF,R/R,Fr.,"6'0""",185,"Whittier, Calif. / La Mirada HS",UCLA
27,Easton Hawk,RHP,R/R,So.,"6'3""",210,"Granada Hills, Calif. / Granada Hills HS",UCLA
28,Maverek Russell,INF,L/R,Fr.,"6'0""",195,"Whittier, Calif. / La Mirada",UCLA
29,Finn McIlroy,RHP,R/R,Sr.,"6'6""",215,"Carlsbad, Calif. / Carlsbad HS",UCLA
30,Tyler Dunning,INF,R/R,Fr.,"6'1""",190,"Rancho Santa Margarita, Calif. / JSerra Catholic HS",UCLA
31,Chris Aldrich,RHP,R/R,Gr.,"6'2""",195,"Oak Park, Calif. / Notre Dame HS",UCLA
33,Blake Balsz,C,L/R,Jr.,"5'10""",200,"Rancho Santa Margarita, Calif. / Santa Margarita HS",UCLA
34,Mack Edwards,LHP,L/L,Fr.,"6'5""",230,"Reno, Nev. / Reno HS",UCLA
35,Hayden George,RHP,R/R,Fr.,"6'4""",225,"San Clemente, Calif. / Santa Margarita Catholic HS",UCLA
36,Dean West,OF,L/R,Jr.,"5'10""",180,"Woodland Hills, Calif. / Notre Dame HS",UCLA
38,Trey Gudoy,OF,L/L,Fr.,"5'11""",182,"Escondido, Calif. / Cathedral Catholic HS",UCLA
39,Mulivai Levu,1B,L/R,Jr.,"6'1""",205,"Huntington Beach, Calif. / Ocean View HS",UCLA
40,Cashel Dugger,C,L/R,Jr.,"6'2""",210,"Castle Pines, Colo. / Valor Christian HS",UCLA
41,Will Crain,RHP,R/R,Fr.,"6'2""",182,"Mercer Island, Wash. / Eastside Catholic HS",UCLA
44,Ian Fisher,LHP,R/L,Fr.,"6'1""",182,"Carlsbad, Calif. / Carlsbad HS",UCLA
45,Chris Grothues,LHP,L/L,R-Jr.,"6'3""",210,"Anaheim Hills, Calif. / Servite HS",UCLA
47,Elai Iwanaga,RHP,L/R,Fr.,"6'0""",170,"Mililani, Hawaii / Kamehameha HS",UCLA
55,Michael Barnett,RHP,R/R,Sr.,"6'4""",210,"Lafayette, Calif. / College Park HS",UCLA
85,Cal Randall,RHP,R/R,Jr.,"6'4""",235,"Discovery Bay, Calif. / De La Salle HS",UCLA
99,Angel Cervantes,RHP,R/R,Fr.,"6'2""",215,"Lynwood, Calif. / Warren HS",UCLA
