No.,Name,Cl.,Pos.,Ht.,Wt.,B/T,Hometown / High School,Previous School,University
1,Reiss Calvin,Sr.,OF/INF,2-Jun,195,S/R,"Woodbury, Minn. / Woodbury HS",Ventura College,UC Santa Barbara
2,Jackson Flora,So.,RHP,5-Jun,205,R/R,"Pleasanton, Calif. / Foothill HS",—,UC Santa Barbara
3,Rowan Kelly,Fr.,OF,10-May,175,L/L,"Menlo Park, Calif. / Menlo Atherton HS",—,UC Santa Barbara
5,Jonathan Mendez,So.,INF,1-Jun,200,R/R,"Los Angeles, Calif. / JSerra Catholic HS",—,UC Santa Barbara
6,Nolan Farley,So.,INF,4-Jun,190,R/R,"Encinitas, Calif. / La Costa Canyon HS",Ohio State,UC Santa Barbara
7,Cole Tryba,So.,LHP,Jun-00,180,L/L,"Long Beach, Calif. / Los Alamitos HS",—,UC Santa Barbara
9,Jack Meissner,Fr.,INF,2-Jun,180,L/R,"Phoenix, Ariz. / Brophy College Prep",—,UC Santa Barbara
10,Liam Barrett,Fr.,OF,Jun-00,185,L/R,"Mountain View, Calif. / Mountain View HS",—,UC Santa Barbara
12,Nate Vargas,Jr.,C,3-Jun,225,L/R,"Rocklin, Calif. / Whitney HS",Folsom Lake College,UC Santa Barbara
14,Hudson Aber,Fr.,RHP,2-Jun,195,R/R,"Danville, Calif. / San Ramon Valley HS",—,UC Santa Barbara
15,Cole Kosciusko,Jr.,INF/OF,2-Jun,205,L/L,"Castro Valley, Calif. / Castro Valley HS",Santa Barbara City College,UC Santa Barbara
16,Corey Nunez,Jr.,INF,3-Jun,190,R/R,"Torrance, Calif. / Torrance HS",—,UC Santa Barbara
17,Carson Timothy,R-Fr.,RHP,11-May,190,R/R,"Woodland, Calif. / Pioneer HS",—,UC Santa Barbara
18,Tyler Bremner,Jr.,RHP,2-Jun,190,R/R,"San Diego, Calif. / Scripps Ranch HS",—,UC Santa Barbara
19,Nic Peterson,So.,LHP,2-Jun,200,R/L,"Tustin, Calif. / Orange Lutheran HS",—,UC Santa Barbara
20,Nathan Aceves,Fr.,RHP,3-Jun,200,R/R,"Huntington Beach, Calif. / Huntington Beach HS",—,UC Santa Barbara
21,Masen Swan,R-Fr.,LHP,Jun-00,185,S/L,"Riverside, Calif. / Martin Luther King HS",—,UC Santa Barbara
22,Frank Camarillo,Jr.,RHP,4-Jun,210,R/R,"Moreno Valley, Calif. / Moreno Valley HS",—,UC Santa Barbara
23,Peter Storjohann,Jr.,RHP,5-Jun,230,R/R,"Danville, Calif. / De La Salle HS",Diablo Valley College,UC Santa Barbara
24,Van Froling,Fr.,LHP,4-Jun,210,L/L,"Sacramento, Calif. / Inderkum HS",—,UC Santa Barbara
25,Jeremiah Crain,Jr.,INF,1-Jun,205,R/R,"Tacoma, Wash. / Puyallup HS",Tacoma Community College,UC Santa Barbara
26,Jack Haferkamp,Fr.,OF,4-Jun,195,R/R,"Carlsbad, Calif. / Santa Fe Christian HS",—,UC Santa Barbara
28,Raymond Olivas,Fr.,RHP,1-Jun,175,R/R,"Stockton, Calif. / Lincoln HS",—,UC Santa Barbara
29,Jack Holman,Sr.,INF/OF,4-Jun,225,L/R,"Wrightwood, Calif. / Etiwanda HS",UCLA,UC Santa Barbara
30,Elliot Gallegos,R-Sr.,RHP,1-Jun,205,R/R,"Torrance, Calif. / Torrance HS",Fullerton College,UC Santa Barbara
31,Xavier Esquer,R-So.,INF,10-May,185,R/R,"Palo Alto, Calif. / Palo Alto Senior High",Arizona,UC Santa Barbara
32,Calvin Proskey,So.,RHP,3-Jun,195,R/R,"Oak Park, Ill. / Oak Park River Forest HS",—,UC Santa Barbara
33,Casey Euper,Fr.,LHP,3-Jun,190,L/L,"Irvine, Calif. / University HS",—,UC Santa Barbara
34,Stunner Gonzales,Fr.,RHP,7-Jun,200,R/R,"Carlsbad, Calif. / La Costa Canyon HS",—,UC Santa Barbara
35,LeTrey McCollum,Sr.,OF/INF,4-Jun,212,R/R,"Murrieta, Calif. / Vista Murrieta HS",—,UC Santa Barbara
36,Hudson Barrett,Jr.,LHP,5-Jun,225,L/L,"Bakersfield, Calif. / Frontier HS",—,UC Santa Barbara
37,Ian Fernandez,Fr.,C,2-Jun,195,R/R,"Napa, Calif. / Vintage HS",—,UC Santa Barbara
38,Jimmy Zakhar,R-Jr.,C,1-Jun,195,R/R,"Trabuco Canyon, Calif. / Mission Viejo HS",Irvine Valley College,UC Santa Barbara
40,Rex DeAngelis,So.,OF/INF,4-Jun,220,L/L,"Canby, Ore. / North Marion HS",—,UC Santa Barbara
41,Isaac Kim,Gr.,INF,4-Jun,230,R/R,"Valencia, Calif. / Hart HS",Pomona-Pitzer,UC Santa Barbara
43,Chase Hoover,Jr.,LHP,1-Jun,205,L/L,"Santa Barbara, Calif. / San Marcos HS",TCU,UC Santa Barbara
44,Hayden Hattenbach,R-Sr.,LHP,7-Jun,245,L/L,"San Rafael, Calif. / San Rafael HS",—,UC Santa Barbara
45,AJ Krodel,So.,RHP,4-Jun,195,R/R,"Villa Park, Calif. / Villa Park HS",—,UC Santa Barbara
46,Donovann Jackson,Jr.,LHP,3-Jun,190,L/L,"Glendora, Calif. / Glendora HS",Chaffey College,UC Santa Barbara
48,Reed Moring,Jr.,RHP,1-Jun,190,R/R,"Aptos, Calif. / Aptos HS",—,UC Santa Barbara
51,Nick Salmon,Fr.,RHP,4-Jun,215,L/R,"Newport Coast, Calif. / Corona Del Mar HS",—,UC Santa Barbara
,,,,,,,,,
,,,,,,,,,
This table is now in,,,,,,,,,
