No.,Name,Ht.,Wt.,B/T,Pos.,Class,Hometown,University
1,Chris Polemeni,"6'0""",200,R/R,OF,R-Jr.,"Staten Island, N.Y.",UConn
2,Tyler Minick,"6'0""",206,R/R,INF,Jr.,"Reading, Pa.",UConn
3,Rob Rispoli,"5'10""",175,R/R,INF,R-So.,"Staten Island, N.Y.",UConn
4,Evan Menzel,"5'9""",175,L/R,INF,So.,"Coventry, Conn.",UConn
5,Steve Thomas,"5'10""",195,R/R,C,Gr.,"Chadds Ford, Pa.",UConn
6,Cam Righi,"6'4""",240,L/R,C/UT,Fr.,"Wethersfield, Conn.",UConn
7,Anthony Belisario,"5'10""",175,R/R,UT,So.,"Staten Island, N.Y.",UConn
9,Chase Taylor,"5'8""",160,L/L,OF,Jr.,"Concord, Calif.",UConn
10,Drew Smith,"6'3""",219,R/R,RHP,So.,"Auburn, ME",UConn
11,Connor Lane,"6'2""",212,R/R,C,So.,"Old Saybrook, Conn.",UConn
12,Sean Finn,"5'9""",188,R/R,RHP,Jr.,"Warrington, Pa.",UConn
13,Charlie West,"5'11""",182,L/L,LHP,Jr.,"South Setauket, N.Y.",UConn
15,Brady Ericson,"6'6""",200,L/L,LHP/1B/OF,Fr.,"Brooklyn, Conn.",UConn
18,Charlie Hale,"6'2""",175,R/R,RHP,Jr.,"Brookline, N.H.",UConn
19,Peyton Jemison,"6'0""",195,R/R,INF,R-So.,"Monroe, N.Y.",UConn
20,Evan Hamberger,"6'2""",185,L/L,LHP,Sr.,"Belgrade, MT",UConn
21,Logan Charboneau,"6'7""",230,R/R,1B/OF,Fr.,"East Haven, Conn.",UConn
22,Garret Garbinski,"5'11""",205,R,RHP,R-Jr.,"Clinton, Conn.",UConn
24,Matt McDowell,"6'3""",200,L/R,RHP/INF,Fr.,"Brookfield, Conn.",UConn
25,Ryan Tatar,"6'2""",175,L/R,RHP,Fr.,"Allison Park, Pa.",UConn
26,Joe Pitts,"6'5""",215,R/R,RHP,R-So.,"Greenacres, WA",UConn
27,Tristan Aasland,"6'3""",195,R/R,RHP,Jr.,"Snoqualmie, WA",UConn
30,Frank Spirito IV,"6'0""",210,R/R,RHP,R-So.,"Bristol, Conn.",UConn
31,Jackson Marshall,"6'8""",260,R/R,1B,So.,"Hooksett, N.H.",UConn
32,Austin Trumpour,"6'4""",210,R/R,RHP,Gr.,"Jensen Beach, Fla.",UConn
34,Bryce Detwiler,"6'2""",192,R/R,INF,Fr.,"Shillington, Pa.",UConn
36,Paxton Meyers,"6'0""",200,R/R,RHP,Gr.,"West Nyack, N.Y.",UConn
37,Sam Hutchinson,"6'2""",200,L/L,LHP,Jr.,"Ivoryton, Conn.",UConn
38,JT Caruso,"6'2""",185,L/L,LHP,Jr.,"Mount Sinai, N.Y.",UConn
39,Kyle Peters,"6'0""",215,R/R,RHP,R-So.,"Hazleton, Pa.",UConn
40,Joe Talarico,"5'11""",180,R/R,RHP,Jr.,"Goleta, Calif.",UConn
41,Greg Shaw III,"6'3""",210,R/R,RHP,Sr.,"Cornwall On Hudson, N.Y.",UConn
42,Gabriel Tirado,"5'8""",205,L/R,C,So.,"Newington, Conn.",UConn
43,Maddix Dalena,"6'3""",239,L/R,1B,R-Jr.,"Montoursville, Pa.",UConn
45,Cayden Suchy,"6'0""",188,L/L,LHP,So.,"Sterling, Va.",UConn
46,Rob Gilchrist,"6'3""",210,R/R,RHP,R-Jr.,"New Milford, CT",UConn
46,Oliver Pudvar,"5'11""",200,L/L,LHP,R-Jr.,"Shelburne, VT",UConn
48,Justin Lessing,"6'0""",180,R/R,RHP,Gr.,"Westport, Conn.",UConn
49,Nater Wachter,"6'4""",200,R/R,OF,Jr.,"Concord, N.H.",UConn
54,Chris Cancel,"6'0""",170,R/R,C,So.,"Staten Island, N.Y.",UConn
