No.,Name,Pos.,B/T,Yr.,Ht.,Wt.,Hometown / High School,University
0,Evan Haeger,OF,R/R,R-So.,1-Jun,200,"New Hudson, MI / Detroit Catholic Central",Michigan
2,Brayden Jefferis,INF,R/R,So.,10-May,175,"Valencia, CA / Hart HS",Michigan
3,Greg Pace Jr.,OF,R/R,R-Jr.,3-Jun,207,"Detroit, MI / Edison Academy",Michigan
4,Noah Miller,C,R/R,R-So.,Jun-00,200,"Monroe, MI / Monroe HS",Michigan
5,David Lally Jr.,RHP,R/R,Sr.,5-Jun,215,"Grand Blanc, MI / Grand Blanc HS",Michigan
6,Kurt Barr,RHP,R/R,Sr.,3-Jun,190,"Saint Joachim, Ontario / University Liggett",Michigan
7,Joe Longo,INF,R/R,Gr.,Jun-00,215,"Apple Valley, MN / Holy Angels",Michigan
8,Drew Culbertson,INF,R/R,Jr.,10-May,175,"Greenwood, IN / Center Grove HS",Michigan
9,Cade Montgomery,RHP,R/R,Jr.,11-May,180,"Kaysville, UT / Davis HS",Michigan
10,Tate Carey,RHP,R/R,So.,Jun-00,209,"Windsor, Ontario / Riverside Secondary",Michigan
12,Max Debiec,RHP,R/R,Sr.,7-Jun,218,"Seattle, WA / O’Dea HS",Michigan
14,Colby Turner,INF,R/R,Jr.,Jun-00,205,"Huntington Beach, CA / Huntington Beach HS",Michigan
15,Carson Luna,INF,R/R,R-Fr.,1-Jun,187,"Houston, TX / St. Johns HS",Michigan
17,Gavin DeVooght,RHP,R/R,Jr.,5-Jun,238,"Walled Lake, MI / Walled Lake Central HS",Michigan
18,Brenden Stressler,OF,L/R,Jr.,2-Jun,200,"Wilmette, IL / New Trier HS",Michigan
19,Brandon Mann,RHP,R/R,Sr.,3-Jun,247,"Franklin, MI / Detroit Country Day",Michigan
20,Dane Morrow,INF,R/R,R-Fr.,Jun-00,185,"Louisville, KY / Trinity HS",Michigan
21,Jonathan Kim,OF,L/R,Sr.,11-May,190,"Brookfield, WI / Brookfield Academy",Michigan
22,Wyatt Novara,LHP,L/L,Jr.,3-Jun,200,"Dexter, MI / Dexter HS",Michigan
23,Preston Barr,RHP,R/R,So.,3-Jun,210,"Grosse Pointe Woods, MI / University Liggett",Michigan
24,Elie Kligman,C,R/R,Gr.,Jun-00,205,"Las Vegas, NV / Cimarron-Memorial HS",Michigan
25,Brock Leitgeb,C,R/R,R-So.,Jun-00,200,"Portland, OR / Jesuit HS",Michigan
26,Tyler Finkbeiner,RHP,R/R,Fr.,7-Jun,240,"New Baltimore, MI / Anchor Bay HS",Michigan
27,Jack Laffitte,INF,R/R,Fr.,2-Jun,195,"Pacific Palisades, CA / Harvard-Westlake",Michigan
28,Cade Ladehoff,INF,R/R,R-So.,10-May,200,"Bradenton, FL / IMG Academy",Michigan
29,Keegan O’Hearn,OF,L/R,R-So.,5-Jun,225,"Oshawa, Ontario / O’Neill CVI",Michigan
30,Shane Brinham,LHP,L/L,Fr.,1-Jun,180,"North Vancouver, BC / Handsworth Secondary",Michigan
32,John Hughes,LHP,L/L,R-Fr.,Jun-00,215,"Hinsdale, IL / Nazareth Academy",Michigan
34,Michael Quedens,LHP,L/L,So.,1-Jun,192,"Stockton, CA / St. Mary’s HS",Michigan
35,Matthew Ossenfort,INF,R/R,Jr.,3-Jun,215,"Sioux Falls, SD / Marjorie Stoneman Douglas",Michigan
36,Josh Campbell,OF,R/R,Fr.,10-May,190,"Bloomfield Hills, MI / IMG Academy",Michigan
37,Josh Kasner,RHP,R/R,So.,1-Jun,200,"Algonac, MI / Algonac HS",Michigan
38,Slade Moore,LHP,L/L,Fr.,1-Jun,175,"West Bloomfield, MI / West Bloomfield HS",Michigan
39,Caleb Raymond,RHP,R/R,Fr.,2-Jun,185,"Ann Arbor, MI / Ann Arbor Skyline",Michigan
40,Cooper Mullens,INF,R/R,R-So.,7-May,155,"Eugene, OR / Marist Catholic",Michigan
41,Grant Bradley,RHP,R/R,So.,3-Jun,205,"Brooklyn, MI / Napoleon HS",Michigan
42,Justin Brown,RHP,R/R,R-Fr.,3-Jun,198,"Northville, MI / Northville HS",Michigan
45,Wyatt Rudden,RHP,R/R,Fr.,Jun-00,180,"Greenwood Village, CO / Cherry Creek HS",Michigan
47,Brennan Hill,LHP,L/L,R-Fr.,4-Jun,201,"Grosse Pointe Woods, MI / Grosse Pointe North",Michigan
49,Erik Puodziunas,RHP,R/R,R-Fr.,3-Jun,190,"Sherman Oaks, CA / Notre Dame HS",Michigan
50,Will Twomey,INF,R/R,Fr.,4-Jun,210,"Washington, DC / Georgetown Prep",Michigan
51,Joonsung Park,INF,R/R,Jr.,Jun-00,193,"Seoul, South Korea / IMG Academy",Michigan
