No.,Name,Pos.,Yr.,Ht.,Wt.,B/T,Hometown / High School,University
2,RJ Hamilton,UTL,Sophomore,"5'10""",185,R/R,"Hoover, Alabama / Hoover",Vanderbilt
3,Jayden Davis,INF,Junior,"5'10""",205,R/R,"Cookeville, Tennessee / Cookeville",Vanderbilt
5,Mike Mancini,INF,Junior,"5'11""",173,L/R,"Endwell, New York / Maine-Endwell",Vanderbilt
8,Chris Maldonado,INF,Junior,"6'1""",196,R/R,"Short Hills, New Jersey / Seton Hall Prep",Vanderbilt
9,Brodie Johnston,INF,Freshman,"6'2""",203,R/R,"Ooltewah, Tennessee / Boyd-Buchanan School",Vanderbilt
10,Jacob Humphrey,UTL,Senior,"5'10""",180,R/R,"Standish, Maine / Bonny Eagle",Vanderbilt
13,Jonathan Vastine,INF,Senior,"5'11""",174,L/R,"Bartow, Florida / Bartow",Vanderbilt
16,Mac Rose,C,Sophomore,"6'0""",195,L/R,"Rockwall, Texas / Rockwall",Vanderbilt
17,Ryan Ginther,LHP,Senior,"5'11""",198,R/L,"Hendersonville, Tennessee / Station Camp",Vanderbilt
18,JD Rogers,OF,Senior,"5'10""",207,L/L,"Carmel, Indiana / Carmel",Vanderbilt
19,Rustan Rigdon,INF,Freshman,"6'0""",177,S/R,"Metter, Georgia / Metter",Vanderbilt
20,David Mendez,UTL,Sophomore,"5'11""",184,R/R,"Aldie, Virginia / Independence",Vanderbilt
21,Hudson Barton,RHP,Freshman,"6'3""",199,R/R,"Franklin, Tennessee / Grace Christian Academy",Vanderbilt
22,JD Thompson,LHP,Junior,"6'0""",199,R/L,"Rusk, Texas / Rusk",Vanderbilt
25,AJ DePaolo,C,Freshman,"5'11""",195,R/R,"Carrolltown, Texas / Prestonwood Christian Academy",Vanderbilt
26,Braden Holcomb,INF,Sophomore,"6'5""",240,R/R,"Orlando, Florida / Foundation Academy",Vanderbilt
28,Will Hampton,INF/OF,Freshman,"5'11""",197,L/L,"Richmond Hill, Georgia / Calvary Day",Vanderbilt
30,Ethan Robinson,RHP,Sophomore,"6'5""",223,R/R,"Murfreesboro, Tennessee / Donelson Christian Academy",Vanderbilt
32,Riley Nelson,INF,Junior,"6'3""",222,L/R,"Trophy Club, Texas / Byron Nelson",Vanderbilt
33,Luke Guth,RHP,Sophomore,"6'1""",182,R/R,"Franklin, Pennsylvania / Franklin Area",Vanderbilt
34,Brennan Seiber,RHP,Sophomore,"6'6""",240,R/R,"Newport Beach, California / Mater Dei",Vanderbilt
36,Levi Huesman,LHP,Junior,"6'0""",186,R/L,"Hanover, Virginia / Hanover",Vanderbilt
37,Jakob Schulz,LHP,Sophomore,"6'2""",206,R/L,"Houston, Texas / Memorial",Vanderbilt
39,Connor Fennell,RHP,Sophomore,"6'1""",168,R/R,"Londonderry, New Hampshire / Londonderry",Vanderbilt
40,Austin Nye,RHP,Freshman,"6'2""",205,R/R,"Roseville, California / Woodcreek",Vanderbilt
42,RJ Austin,UTL,Junior,"5'11""",199,R/R,"Atlanta, Georgia / Pace Academy",Vanderbilt
43,Matthew Shorey,LHP,Freshman,"6'2""",176,L/L,"Nashville, Tennessee / Father Ryan",Vanderbilt
44,Colin Barczi,C,Sophomore,"6'3""",213,R/R,"Naperville, Illinois / Naperville Central",Vanderbilt
45,Aiden O'Connell,LHP,Freshman,"6'2""",191,L/L,"Bedford, New Hampshire / Bedford",Vanderbilt
46,Roman Petricca,LHP,Freshman,"6'2""",175,R/L,"Mt. Juliet, Tennessee / Mt. Juliet",Vanderbilt
47,Tommy Goodin,OF,Freshman,"6'1""",192,L/R,"Thousand Oaks, California / Adolfo Camarillo",Vanderbilt
50,Aukai Kea,C,Freshman,"6'1""",202,R/R,"Kapolei, Hawai'i / IMG Academy",Vanderbilt
51,Ryker Waite,INF,Freshman,"5'10""",176,S/R,"Queen Creek, Arizona / Queen Creek",Vanderbilt
55,Cody Bowker,RHP,Junior,"6'1""",212,R/R,"Bowdoinham, Maine / Thornton Academy",Vanderbilt
66,Deegan Cordova,RHP,Sophomore,"6'2""",188,R/R,"Lake Havasu City, Arizona / Lake Havasu",Vanderbilt
70,Tristan Bristow,RHP,Freshman,"6'3""",189,R/R,"Helotes, Texas / Harlan",Vanderbilt
73,Tommy O'Rourke,RHP,Graduate,"6'2""",211,R/R,"Morristown, New Jersey / Seton Hall Prep",Vanderbilt
77,Alex Kranzler,RHP,Sophomore,"6'3""",222,R/R,"Norwood, New Jersey / Northern Valley Regional",Vanderbilt
88,Sawyer Hawks,RHP,Senior,"6'4""",215,R/R,"Lakeland, Florida / McKeel Academy",Vanderbilt
89,Ethan McElvain,LHP,Sophomore,"6'4""",238,S/L,"Thompson's Station, Tennessee / Nolensville",Vanderbilt
90,Miller Green,LHP,Sophomore,"6'5""",230,L/L,"Nashville, Tennessee / Lipscomb Academy",Vanderbilt
96,Nate Teague,RHP,Sophomore,"6'7""",232,R/R,"Snow Camp, North Carolina / Southern Alamance",Vanderbilt
99,England Bryan,RHP,Freshman,"6'1""",231,R/R,"Hillsboro, Tennessee / Middle Tennessee Christian",Vanderbilt
