#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
3,Zander Teator,0.386,1.142,29,23,88,29,34,11,1,4,34,59,0.67,9,7,22,0,0.472,2,0,8-Jun
8,Justin Guest,0.326,0.918,36,36,141,35,46,13,0,2,18,65,0.461,18,16,13,3,0.457,0,1,11-Sep
15/50,Ryan Liss,0.325,0.989,35,35,126,34,41,10,2,5,29,70,0.556,16,11,23,3,0.433,4,1,6-May
2,Tanner Santos,0.278,0.774,30,30,115,29,32,7,1,0,18,41,0.357,18,10,11,0,0.417,1,5,13-Dec
16,Brant Savage,0.275,0.793,36,36,149,32,41,6,0,5,36,62,0.416,16,9,28,2,0.377,1,0,4-Apr
6,Thomas Parisi,0.226,0.708,34,30,106,20,24,7,0,2,21,37,0.349,16,6,16,4,0.359,0,3,7-May
12,Jack Julian,0.217,0.588,31,31,106,27,23,4,0,0,16,27,0.255,18,2,22,1,0.333,3,3,12-Oct
22,Brooks Saft,1,2,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0-0
33,Gabe Cushner,0.338,0.905,23,23,80,18,27,4,0,2,10,37,0.463,7,8,11,1,0.442,0,3,0-1
42,Walter Sadowsky,0.333,0.832,23,22,81,13,27,2,1,2,19,37,0.457,6,0,19,1,0.375,1,0,3-Feb
5,Alexander Wilson,0.294,0.777,17,9,34,8,10,3,0,0,11,13,0.382,4,3,7,0,0.395,2,1,4-Mar
19,Jack Moses,0.275,0.773,18,14,51,10,14,4,0,1,13,21,0.412,8,0,15,1,0.361,2,0,2-Feb
55,Owen Stephens,0.267,0.568,7,3,15,4,4,1,0,0,2,5,0.333,0,0,3,1,0.235,2,0,1-Jan
28,Ben Valente,0.25,0.65,5,1,4,1,1,0,0,0,1,1,0.25,0,1,1,0,0.4,0,0,0-0
1,Chris Basile,0.244,0.775,13,11,41,8,10,2,1,1,12,17,0.415,8,0,9,0,0.36,1,0,0-0
13,Ryan Hvozdovic,0.239,0.722,16,12,46,12,11,3,0,1,7,17,0.37,6,2,7,2,0.352,0,2,0-0
7,Dante D’Avanzo,0.148,0.42,8,8,27,4,4,1,0,0,7,5,0.185,3,1,3,0,0.235,3,1,0-0
