#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
6,Derek Curiel,0.345,0.99,68,68,258,67,89,20,2,7,55,134,0.519,53,9,56,5,0.47,1,2,6-Mar
16,Ethan Frey,0.331,1.061,62,46,181,43,60,15,1,13,50,116,0.641,29,0,47,2,0.42,2,0,4-Apr
22,Jared Jones,0.323,1.027,68,68,279,66,90,15,0,22,76,171,0.613,38,7,85,4,0.414,2,0,9-May
7,Jake Brown,0.32,0.935,64,46,178,45,57,9,2,8,48,94,0.528,23,5,34,2,0.407,3,3,17-Nov
14,Daniel Dickinson,0.315,0.984,68,68,238,67,75,14,0,12,49,125,0.525,40,23,42,2,0.458,0,4,13-Sep
1,Chris Stanfield,0.298,0.818,68,67,208,53,62,15,2,1,31,84,0.404,36,6,52,5,0.414,1,4,6-May
4,Steven Milam,0.295,0.904,68,68,241,50,71,14,2,11,57,122,0.506,41,5,27,4,0.398,7,1,4-Feb
11,Josh Pearson,0.289,0.931,55,40,135,37,39,7,0,7,33,67,0.496,23,14,26,0,0.434,3,3,5-May
23,Luis Hernandez,0.27,0.848,54,49,174,32,47,11,1,9,33,87,0.5,10,12,35,5,0.348,2,3,5-May
33,Dalton Beck,0.3,0.762,17,0,10,3,3,0,0,0,3,3,0.3,3,0,3,0,0.462,0,0,0 - 0
5,Tanner Reaves,0.262,0.818,43,19,65,18,17,3,0,3,12,29,0.446,12,0,15,1,0.372,1,1,0 - 0
44,Ashton Larson,0.256,0.91,34,5,39,7,10,3,0,2,12,19,0.487,9,3,14,0,0.423,1,0,1-Jan
13,Mic Paul,0.25,0.788,25,0,8,6,2,0,0,0,0,2,0.25,4,1,4,0,0.538,0,1,0 - 0
0,Cade Arrambide,0.242,0.835,36,19,62,11,15,3,0,4,14,30,0.484,9,2,25,1,0.351,1,1,0 - 0
47,John Pearson,0.238,0.918,27,1,21,5,5,1,0,2,7,12,0.571,4,0,9,0,0.346,1,0,0 - 0
10,Michael Braswell,0.189,0.579,65,48,148,20,28,6,0,2,18,40,0.27,19,7,35,1,0.309,1,10,0 - 0
18,David Hogg II,0,0.333,12,0,2,1,0,0,0,0,1,0,0,1,0,2,0,0.333,0,0,1-Jan
28,Blaise Priester,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0 - 0
38,Ryan Costello,0,0.308,15,0,8,3,,,,,,,,,,,,,,,
