#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
1,Zev Moore,0.378,1.17,38,38,135,41,51,10,1,10,32,93,0.689,18,9,18,1,0.481,0,0,17-20
9,Teddy Schoenfeld,0.362,0.975,39,39,152,35,55,15,1,2,24,78,0.513,25,6,16,1,0.462,3,0,13-Oct
7,Reed Tubbs,0.34,0.942,39,38,144,33,49,9,0,6,35,76,0.528,13,8,23,2,0.414,4,1,19-21
26,CJ McCarthy,0.333,0.99,35,35,135,37,45,13,1,6,25,78,0.578,12,6,38,1,0.412,0,1,8-Jun
30,John Spivey,0.318,0.96,39,38,157,42,50,10,1,9,37,89,0.567,11,9,26,3,0.393,1,0,11-Jun
25,Malachi Soqui,0.287,0.93,35,35,129,23,37,8,0,9,40,72,0.558,14,4,25,1,0.372,1,0,3-Mar
27,John Dwyer,0.267,0.643,35,32,116,23,31,4,0,0,18,35,0.302,10,4,23,1,0.341,2,2,7-Jul
20,Louis Hernandez,0.242,0.703,31,21,95,12,23,4,0,3,12,36,0.379,12,1,34,0,0.324,3,1,4-Apr
12,Owen Malone,0.153,0.422,34,30,98,11,15,2,0,1,16,20,0.204,9,0,39,0,0.218,3,9,4-Apr
3,Hanvin Lee,0.269,0.636,14,6,26,1,7,0,0,0,2,7,0.269,2,2,3,0,0.367,0,0,0-1
28,Phillip Hood,0.222,0.586,25,2,9,1,2,0,0,0,2,2,0.222,2,0,3,0,0.364,0,0,0-0
5,Tyler Godfrey,0.2,0.494,18,17,45,8,9,0,0,0,1,9,0.2,3,3,12,1,0.294,0,3,0-0
2,Jack Finnegan,0.172,0.526,19,6,29,7,5,0,0,1,4,8,0.276,1,2,4,0,0.25,0,2,0-0
18,Eitan Moore,0.16,0.345,16,6,25,5,4,0,0,0,1,4,0.16,1,0,5,1,0.185,1,0,3-Mar
11,Maximo Del Pino,0.143,0.437,14,3,14,3,2,0,0,0,2,2,0.143,3,0,3,1,0.294,0,0,0-0
32,Joey Severson,0.111,0.269,11,3,18,0,2,0,0,0,0,2,0.111,0,1,10,0,0.158,0,0,0-0
15,Brock Billingsley,0.111,0.222,7,2,9,0,1,0,0,0,1,1,0.111,0,0,6,0,0.111,0,0,0-0
24,Jimmy Moore,0,0,14,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0-0
