#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
1,Ryan McKay,0.319,0.916,54,54,210,58,67,20,1,5,28,104,0.495,36,3,31,3,0.421,3,2,15-Nov
31,Caleb Berry,0.297,0.843,45,44,165,33,49,10,0,6,34,77,0.467,14,8,27,1,0.376,2,2,8-May
24,Sam Busch,0.289,0.965,54,51,190,40,55,11,0,15,62,111,0.584,29,2,36,4,0.381,5,1,5-Feb
35,Randy Seymour,0.268,0.745,55,55,198,31,53,12,3,4,36,83,0.419,12,6,40,2,0.326,2,12,11-Sep
10,Nick Williams,0.266,0.843,53,49,169,38,45,10,2,5,29,74,0.438,32,10,19,2,0.405,4,0,10-Aug
13,Parker Picot,0.261,0.814,52,51,188,33,49,11,5,8,37,94,0.5,14,2,55,3,0.314,3,2,3-Feb
2,JT Sokolove,0.25,0.709,53,53,188,39,47,8,0,2,22,61,0.324,24,19,40,0,0.385,3,4,16 - 20
3,Dayton Murphy,0.186,0.521,42,31,86,10,16,3,0,0,4,19,0.221,11,3,13,2,0.3,0,5,2-Jan
18,Noah Bright,0.277,0.725,39,33,119,20,33,6,1,0,15,41,0.345,18,3,32,2,0.38,2,1,0 - 1
50,Will Shannon,0.267,0.831,34,20,75,14,20,2,0,4,14,34,0.453,13,1,19,3,0.378,1,0,0 - 0
30,Jake Dresselhouse,0.217,0.603,29,23,69,13,15,0,0,0,8,15,0.217,11,8,20,0,0.386,0,1,5-Apr
9,Jacob Anderson,0.184,0.562,34,25,76,9,14,2,0,2,13,22,0.289,5,5,27,1,0.273,2,3,1-Jan
5,Christian Williams,0.167,0.579,12,2,12,1,2,0,0,0,2,2,0.167,4,1,6,0,0.412,0,0,1-Jan
21,Khamaree Thomas,0.167,0.542,6,1,6,0,1,0,0,0,0,1,0.167,2,0,1,0,0.375,0,0,0 - 0
43,Griffin Brown,0.143,0.393,10,0,7,2,1,0,0,0,0,1,0.143,0,1,5,0,0.25,0,0,0 - 0
19,Adam Broski,0.125,0.25,6,1,8,0,1,0,0,0,1,1,0.125,0,0,4,0,0.125,0,0,0 - 0
8,Isaac Sturgess,0,0.4,14,2,12,3,0,0,0,0,0,0,0,7,1,4,0,0.4,0,1,2-Feb
44,Ryan Zimmer,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 - 0
