#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
8,Owen McElfatrick,0.303,0.926,51,51,195,40,59,16,1,9,32,104,0.533,24,7,47,1,0.393,3,0,6-May
17,Ryan Kucherak,0.289,1.018,52,52,194,41,56,12,1,18,41,124,0.639,20,9,47,3,0.379,1,0,4-Feb
29,Tyler Ganus,0.279,0.759,48,47,154,26,43,4,0,3,22,56,0.364,25,5,34,1,0.395,1,5,4-Mar
4,Jack Lausch,0.268,0.795,44,43,149,30,40,9,0,6,28,67,0.45,14,6,56,0,0.345,5,3,7-May
9,Bennett Markinson,0.266,0.783,52,52,177,35,47,10,2,5,35,76,0.429,15,12,14,1,0.354,5,2,0 - 0
28,Trent Liolios,0.263,0.975,51,49,167,35,44,10,1,16,39,104,0.623,22,2,42,1,0.352,2,1,1-Jan
12,Jackson Freeman,0.255,0.78,52,52,200,32,51,14,1,6,40,85,0.425,25,6,37,5,0.355,0,0,5-Apr
1,Preston Knott,0.245,0.787,52,51,192,42,47,17,1,5,26,81,0.422,31,6,29,4,0.365,1,3,4-Feb
49,Griffin Mills,0.316,1.014,21,2,19,4,6,2,0,1,4,11,0.579,4,0,6,0,0.435,0,0,1-Jan
27,Zach Carlson,0.276,0.709,15,7,29,4,8,2,0,0,2,10,0.345,3,1,11,1,0.364,0,0,0 - 0
6,Jack Counsell,0.247,0.738,31,28,85,13,21,5,2,1,6,33,0.388,13,1,18,1,0.35,1,4,3-Mar
19,Jacob Hand,0.226,0.749,29,21,62,9,14,3,0,2,18,23,0.371,12,5,14,2,0.378,3,3,1-Jan
13,Vince Bianchina,0.2,0.654,12,4,20,5,4,3,0,0,1,7,0.35,2,1,4,0,0.304,0,1,0 - 0
10,Joshua Ramos,0.2,0.568,13,4,15,2,3,0,0,0,1,3,0.2,2,2,7,0,0.368,0,0,0 - 0
34,Pirmin Brechbuhl,0.167,0.953,8,0,6,1,1,0,0,1,3,4,0.667,1,0,2,0,0.286,0,0,0 - 0
7,Marty Kaplan,0.154,0.368,9,2,13,0,2,0,0,0,2,2,0.154,1,0,4,0,0.214,0,0,0 - 0
32,Ethan Borggren,0,0,12,2,7,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0 - 0
33,Sonny Rao,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0 - 0
22,Carter Danz,0,0,12,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 - 0
