#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
42,Tyler Pettorini,0.319,0.921,50,50,207,37,66,12,1,10,45,110,0.531,22,4,34,1,0.39,3,0,12-Oct
2,Trey Lipsey,0.3,0.969,50,50,180,57,54,13,1,7,29,90,0.5,42,17,37,2,0.469,2,1,15 - 17
1,Lee Ellis,0.296,0.922,38,38,142,30,42,6,2,7,34,73,0.514,21,8,32,0,0.408,3,1,8-Jul
9,Matthew Graveline,0.282,0.884,50,50,195,39,55,11,2,10,53,100,0.513,27,3,56,1,0.371,4,0,8-May
16,Mason Eckelman,0.281,0.844,50,49,178,30,50,9,2,5,29,78,0.438,26,12,35,0,0.406,1,0,1-Jan
4,Reggie Bussey,0.263,0.756,45,45,137,33,36,4,3,1,17,49,0.358,30,2,32,1,0.398,2,8,15-Sep
19,Will Carpenter,0.257,0.802,35,31,109,21,28,8,1,3,19,47,0.431,19,2,35,0,0.371,2,2,4-Mar
12,Ryan Miller,0.241,0.87,33,32,112,25,27,3,0,9,21,57,0.509,9,12,39,1,0.361,0,0,3-Mar
6,Maddix Simpson,0.237,0.695,36,34,114,18,27,6,0,2,24,39,0.342,17,5,25,0,0.353,3,1,5-Jan
7,Nick Giamarusti,0.193,0.7,35,31,109,25,21,4,0,5,14,40,0.367,15,8,27,0,0.333,0,3,15 - 16
31,Sal Mineo,0.188,0.512,24,20,64,13,12,1,1,0,7,15,0.234,7,1,23,0,0.278,0,1,2-Feb
44,Alonzo Paul Jr.,0.182,0.455,7,2,11,0,2,1,0,0,1,3,0.273,0,0,1,0,0.182,0,0,0 - 0
11,Marc Stephens,0.18,0.456,15,15,61,6,11,5,0,0,4,16,0.262,1,0,14,1,0.194,0,0,0 - 0
0,Zach Freeman,0.143,0.414,5,3,14,1,2,1,0,0,0,3,0.214,1,0,2,0,0.2,0,0,0 - 0
17,Anthony Scheppler,0,0.2,4,0,4,1,0,0,0,0,0,0,0,1,0,2,0,0.2,0,0,0 - 0
