#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
12,Ryan Cooney,0.335,0.945,57,57,182,45,61,12,0,6,49,91,0.5,33,8,21,7,0.445,6,5,15 - 18
25,Jacob Walsh,0.332,1.086,58,58,232,54,77,17,0,19,60,151,0.651,36,7,50,2,0.435,1,0,8-Aug
45,Dominic Hellman,0.326,0.993,48,45,187,42,61,6,0,13,44,106,0.567,24,10,42,1,0.426,2,0,1-Jan
9,Maddox Molony,0.309,0.968,56,56,207,41,64,8,0,15,45,117,0.565,25,9,34,1,0.403,2,3,10-Oct
26,Mason Neville,0.29,1.153,57,57,217,67,63,16,0,26,57,157,0.724,53,4,66,2,0.429,6,0,14-Sep
77,Anson Aroz,0.281,1,57,57,199,54,56,9,0,17,53,116,0.583,36,13,45,5,0.417,4,5,9-Jun
3,Carter Garate,0.272,0.82,58,58,180,48,49,12,1,4,36,75,0.417,23,17,34,0,0.403,1,6,7-Jun
17,Drew Smith,0.313,0.91,37,31,115,23,36,3,1,5,25,56,0.487,23,1,25,0,0.423,3,2,10-Jun
35,Jeffery Heard,0.289,0.909,40,26,90,18,26,4,0,5,17,45,0.5,11,8,23,2,0.409,1,0,4-Apr
5,Burke-Lee Mabeus,0.257,0.755,41,30,109,27,28,5,1,2,23,41,0.376,20,2,31,2,0.379,1,2,8-Jun
27,Chase Meggers,0.245,0.606,32,22,98,12,24,4,0,1,11,31,0.316,5,2,18,1,0.29,2,0,0 - 0
13,Coen Niclai,0.242,0.779,23,8,33,3,8,4,0,1,4,15,0.455,2,2,14,0,0.324,0,0,0 - 0
19,Jax Gimenez,0.231,0.641,28,2,13,11,3,1,0,0,3,4,0.308,2,0,2,0,0.333,0,0,4-Mar
20,Parker Stinson,0.2,0.72,16,8,20,7,4,0,0,1,3,7,0.35,6,0,11,1,0.37,1,2,0 - 0
6,Jack Brooks,0.182,0.583,25,7,33,11,6,2,0,0,7,8,0.242,8,1,8,1,0.341,2,0,4-Mar
66,Zach Justice,0,0.5,2,0,2,2,0,0,0,0,0,0,0,1,1,2,0,0.5,0,0,0 - 0
1,Tyler Jones,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0 - 0
