#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
28,Paxton Kling,0.358,1.102,56,56,212,63,76,15,2,13,54,134,0.632,37,13,45,0,0.47,6,1,15 - 18
47,Jack Porter,0.31,0.957,47,47,184,44,57,14,0,10,38,101,0.549,20,12,42,3,0.408,2,0,7-Jun
24,Jesse Jaconski,0.298,0.919,55,55,205,40,61,14,1,12,54,113,0.551,20,5,46,3,0.368,4,1,11-Jul
15,Cole Wagner,0.292,0.917,36,36,130,27,38,9,2,4,27,63,0.485,23,9,32,0,0.432,0,0,13-Nov
23,Bryce Molinaro,0.267,0.875,56,56,225,46,60,8,3,13,61,113,0.502,34,6,66,5,0.373,3,0,10-Aug
2,Ryan Weingartner,0.25,0.853,56,56,224,52,56,14,1,11,40,105,0.469,44,6,49,1,0.384,2,0,30 - 33
7,Nate Voss,0.245,0.834,43,36,139,22,34,7,2,8,33,69,0.496,13,9,39,4,0.337,5,2,3-Feb
6,Cohl Mercado,0.23,0.636,46,38,135,32,31,4,1,0,12,37,0.274,21,7,19,0,0.362,0,1,8-Aug
1,Joe Jaconski,0.218,0.705,56,56,211,45,46,14,1,6,31,80,0.379,31,6,56,1,0.325,7,2,11-Nov
19,Derek Cease,0.305,0.753,39,14,59,15,18,3,0,0,4,21,0.356,8,1,11,1,0.397,0,3,8-Jun
18,Matt Maloney,0.283,0.79,33,29,106,18,30,7,0,4,21,49,0.462,7,2,20,3,0.328,4,0,0 - 0
0,Joey DeMucci,0.214,0.645,27,8,28,15,6,1,0,0,3,7,0.25,6,3,6,0,0.395,1,0,2-Feb
40,Patrick Graham,0.143,0.473,11,8,28,2,4,1,0,0,2,5,0.179,3,3,7,2,0.294,0,0,1-Jan
8,Mike Lucarelli,0.111,0.511,14,9,27,11,3,0,0,0,3,3,0.111,9,4,12,0,0.4,0,0,1-Jan
