#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
10,Logan Sutter,0.367,1.18,54,54,196,55,72,22,0,15,62,139,0.709,36,6,47,5,0.471,4,0,3-Mar
20,Aaron Manias,0.294,1.01,50,36,126,29,37,9,0,9,43,73,0.579,17,14,28,3,0.43,1,1,1-Jan
2,Ty Gill,0.292,0.722,51,39,130,28,38,3,1,0,23,43,0.331,19,4,19,0,0.391,3,3,13 - 14
8,Brandon Anderson,0.291,0.933,53,53,189,60,55,9,0,9,46,91,0.481,30,27,25,4,0.452,2,2,6-May
44,Keenan Spence,0.288,0.873,47,46,156,27,45,13,0,7,31,79,0.506,14,7,56,4,0.367,3,0,3-Mar
16,Houston Russell,0.26,0.785,44,34,104,20,27,5,1,1,7,37,0.356,20,11,17,2,0.43,0,2,2-Feb
1,Albert Choi,0.239,0.69,51,46,159,33,38,9,0,1,20,50,0.314,20,16,33,2,0.376,2,3,16 - 20
5,Brody Chrisman,0.5,1.167,2,0,2,0,1,0,0,0,0,1,0.5,0,1,1,0,0.667,0,0,0 - 0
17,Lukas Cook,0.385,0.917,40,36,143,31,55,10,1,1,21,70,0.49,11,2,26,3,0.428,3,2,10-Jul
3,Eli Anderson,0.38,0.824,39,19,79,13,30,2,1,0,19,34,0.43,2,3,12,0,0.393,5,2,19 - 23
23,Amir Gray,0.333,0.667,3,0,3,0,1,0,0,0,0,1,0.333,0,0,0,1,0.333,0,0,0 - 0
19,Avery Moore,0.276,0.699,32,13,58,7,16,3,0,0,12,19,0.328,7,3,16,0,0.371,2,1,1-Jan
4,Brandon Rogers,0.259,0.749,49,22,85,25,22,4,0,2,12,32,0.376,8,8,29,2,0.373,1,1,10-Oct
14,Breck Nowik,0.233,0.828,47,15,60,11,14,4,0,3,14,27,0.45,9,5,12,3,0.378,0,2,5-May
21,CJ Richmond,0.221,0.82,35,31,113,24,25,7,2,5,30,51,0.451,17,10,38,1,0.369,1,0,3-Feb
13,Sergio DeCello,0.219,0.797,34,20,73,16,16,1,1,4,13,31,0.425,6,13,23,4,0.372,2,1,1-Jan
7,Camden Gasser,0.2,0.65,39,22,75,22,15,2,0,0,5,17,0.227,25,4,31,0,0.423,0,6,5-Apr
15,Will Briggs,0.143,0.443,13,0,7,0,1,0,0,0,1,1,0.143,2,0,1,0,0.3,1,0,0 - 0
34,Corbin Malott,0,0.222,33,0,7,6,0,0,0,0,0,0,0,2,0,4,0,0.222,0,1,3-Feb
