#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
18,Frankie Romond,0.363,1.047,44,44,179,46,65,14,4,8,45,111,0.62,20,3,32,0,0.427,4,2,14-Oct
12,Jack Murphy,0.358,0.986,46,45,162,34,58,18,2,3,52,89,0.549,18,10,27,0,0.437,7,1,5-Apr
9,Brandon Petrick,0.31,0.769,43,38,145,20,45,8,1,1,31,58,0.4,9,5,17,1,0.369,1,1,5-May
3,Ryan Nutley,0.293,0.814,47,47,164,39,48,8,2,1,37,63,0.384,34,10,33,3,0.43,6,2,2-Feb
24,Steven Shaffer,0.278,0.791,45,45,176,45,49,8,1,5,27,74,0.42,23,4,51,1,0.371,2,2,16-19
20,Austin Dubler,0.275,0.75,36,29,102,34,28,2,2,0,11,34,0.333,24,1,19,1,0.417,0,4,25-28
6,Justin Figueroa,0.4,1,5,0,5,1,2,1,0,0,1,3,0.6,0,0,1,0,0.4,0,0,0-0
29,Will Gural,0.357,1.015,12,3,14,0,5,1,1,0,2,8,0.571,3,0,2,0,0.444,1,0,2-Jan
2,Jacob Watson,0.321,0.815,14,13,53,19,17,3,0,0,8,20,0.377,6,5,5,0,0.438,0,2,15-16
5,Matt McAleer,0.308,0.746,30,1,13,5,4,0,0,0,1,4,0.308,2,1,2,0,0.438,0,1,0-0
23,Ryan Joseph,0.292,0.733,27,24,89,12,26,3,1,0,20,31,0.348,13,1,17,2,0.385,1,2,3-Feb
7,Chris Smith,0.281,0.695,27,17,57,13,16,0,0,0,9,16,0.281,10,3,12,1,0.414,0,4,3-Jan
21,Diego Salazar,0.276,0.803,30,29,105,21,29,10,0,2,17,45,0.429,15,2,22,2,0.374,1,0,5-Feb
36,Julian Gonzalez,0.268,0.718,28,26,71,10,19,1,0,0,10,20,0.282,20,2,18,2,0.436,1,4,0-0
4,Evan Carbone,0.23,0.649,22,18,61,5,14,3,1,0,5,19,0.311,6,4,7,3,0.338,0,5,4-Mar
22,Billy Richards,0.207,0.648,23,15,58,10,12,1,1,1,7,18,0.31,8,4,14,2,0.338,1,0,1-Jan
11,Giacomo Antonicello,0.2,0.595,23,11,45,10,9,2,0,0,7,11,0.244,10,1,12,0,0.351,1,0,5-Mar
10,Isaiah Pinkney,0.186,0.595,24,14,59,8,11,2,0,2,9,19,0.322,5,2,23,0,0.273,0,0,3-Mar
16,Mason Blizzard,0.154,0.652,8,3,13,5,2,1,0,0,3,3,0.231,5,1,4,0,0.421,0,2,0-0
40,Brice Bradley,0.143,0.651,10,1,14,1,2,0,0,1,4,5,0.357,1,2,5,1,0.294,0,0,0-0
14,John Marcucci,0,0.333,7,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0.333,0,0,0-0
