#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
7,Michael Weinbel,0.365,0.989,34,33,126,24,46,11,1,4,30,71,0.563,9,8,24,0,0.426,5,1,2-Feb
9,Tommy Ruth,0.314,0.779,33,31,118,16,37,6,3,0,11,49,0.415,8,2,31,2,0.364,1,2,4-Mar
26,Dario Morales,0.308,0.811,29,21,91,13,28,4,0,3,17,41,0.451,8,0,35,1,0.36,1,2,2-Jan
41,Joseph Bernardo,0.306,0.805,33,28,111,17,34,9,0,1,16,46,0.414,12,4,20,2,0.391,1,3,3-Feb
32,Eric Recchia,0.295,0.996,37,37,132,36,39,14,1,5,24,70,0.53,26,16,34,1,0.466,0,0,3-Feb
25,Paul Recchia,0.282,0.978,38,38,131,41,37,7,4,5,20,67,0.511,22,25,32,1,0.467,2,2,5-Apr
10,Matthew Torreto,0.267,0.726,35,27,101,19,27,9,0,0,17,36,0.356,8,9,19,0,0.37,1,3,12-Nov
36,Matthew Storch,0.316,0.753,26,26,98,8,31,3,1,1,25,39,0.398,8,0,9,1,0.355,4,1,0-0
11,Devin Rojas,0.3,0.772,19,18,60,9,18,5,0,0,13,23,0.383,8,2,11,0,0.389,2,2,2-Feb
6,Gilroy Prial,0.28,0.686,25,24,82,17,23,2,1,0,15,27,0.329,11,1,14,2,0.357,4,4,8-Jun
23,Jon Rosado,0.264,0.674,24,20,72,10,19,5,0,0,10,24,0.333,7,2,26,0,0.341,1,2,0-1
15,Daniel Fedorco,0.257,0.654,21,20,70,10,18,3,1,0,7,23,0.329,6,1,18,0,0.325,0,0,5-Mar
8,Calvin Claiborne,0.231,0.693,13,0,13,2,3,1,1,0,2,6,0.462,0,0,5,1,0.231,0,0,1-Jan
28,Sean O'Kane,0.222,0.586,9,0,9,1,2,0,0,0,0,2,0.222,2,0,2,0,0.364,0,0,0-0
2,Ulisses Ferraz,0.2,0.557,17,12,50,10,10,2,0,0,12,12,0.24,6,3,7,0,0.317,1,2,4-Mar
37,Akshay Heda,0.2,0.533,10,0,10,1,2,0,0,0,0,2,0.2,1,1,4,0,0.333,0,0,0-0
3,Jesse Evensen,0.128,0.337,21,7,39,7,5,0,0,0,3,5,0.128,2,2,11,1,0.209,0,0,3-Mar
24,Lukas Meyer,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
