#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
4,Tatum Marsh,0.377,0.985,50,49,175,47,66,13,2,3,25,92,0.526,11,19,24,4,0.459,4,3,10-Apr
13,Ethan Hott,0.342,0.918,39,35,117,19,40,8,1,3,25,59,0.504,10,5,19,1,0.414,1,4,4-Mar
2,Temo Becerra,0.33,0.811,52,51,185,27,61,11,2,1,37,79,0.427,16,4,28,6,0.384,6,9,7-Apr
5,Trevor Haskins,0.326,0.945,51,51,221,46,72,13,0,14,42,127,0.575,12,6,32,6,0.37,4,1,0 - 3
27,Brady Reynolds,0.306,0.944,45,45,157,37,48,9,2,8,27,85,0.541,19,7,51,3,0.402,1,0,5-Feb
6,Jimmy Nati,0.3,0.948,52,52,203,45,61,9,0,16,50,118,0.581,15,8,48,3,0.367,3,0,6-Jan
3,Rintaro Sasaki,0.269,0.79,52,52,201,24,54,8,0,7,41,83,0.413,25,10,47,3,0.377,0,0,2-Jan
21,Charlie Saum,0.236,0.713,43,43,144,24,34,7,0,4,19,53,0.368,20,5,45,5,0.345,2,2,0 - 0
44,Brett Blair,0.333,0.788,12,0,9,3,3,0,0,0,1,3,0.333,2,0,1,0,0.455,0,0,0 - 0
16,Brandon Larson,0.275,0.782,26,21,80,12,22,4,0,3,14,35,0.438,6,3,22,1,0.344,1,0,1-Jan
10,Charlie Bates,0.27,0.735,25,25,89,18,24,4,3,1,7,37,0.416,5,2,19,3,0.32,1,0,7-May
1,JJ Moran,0.259,0.718,14,5,27,3,7,1,0,1,3,11,0.407,1,1,9,0,0.31,0,0,0 - 0
33,Gabe Springer,0.25,0.65,6,0,4,0,1,0,0,0,0,1,0.25,1,0,2,0,0.4,0,0,0 - 0
14,Sebastian David,0.25,0.5,4,0,4,0,1,0,0,0,0,1,0.25,0,0,1,0,0.25,0,0,0 - 0
11,Luke Lavin,0.242,0.747,27,16,62,11,15,0,0,3,9,24,0.387,12,0,14,0,0.36,1,1,0 - 0
22,Cort MacDonald,0.211,0.549,24,21,76,10,16,3,0,0,7,19,0.25,10,0,19,2,0.299,1,0,0 - 0
39,Jake Sapien,0.083,0.237,7,2,12,1,1,0,0,0,1,1,0.083,1,0,5,0,0.154,0,2,0 - 0
47,Saborn Campbell,0,0.286,7,0,5,2,0,0,0,0,0,0,0,2,0,2,0,0.286,0,0,0 - 0
