#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
2,Dylan Fishbough,0.398,1.044,37,33,133,28,53,14,3,2,26,79,0.594,8,6,29,0,0.45,2,3,14 - 17
3,Eli Somers,0.377,1.106,44,44,167,41,63,13,3,8,41,106,0.635,32,1,19,4,0.471,4,0,4-Mar
19,Liam DeRubertis,0.323,0.947,44,42,158,33,51,14,4,5,41,88,0.557,10,10,27,1,0.39,4,3,22 - 25
8,Victor Schilleci,0.302,1.078,44,44,159,46,48,12,0,12,39,96,0.604,41,13,44,2,0.474,2,0,2-Feb
56,Jack Reichlin,0.283,0.879,37,31,120,24,34,8,3,4,34,60,0.5,10,9,32,0,0.379,1,0,12-Sep
5,Kieran O'Brien,0.28,0.816,39,36,107,32,30,6,0,0,13,36,0.336,27,16,28,1,0.48,2,1,12-Oct
4,Colby Ching,0.28,0.699,34,29,93,13,26,4,0,0,13,30,0.323,10,5,21,0,0.376,1,2,6-May
33,Cooper Poggioli,0.438,1.063,11,0,16,6,7,0,0,1,5,10,0.625,0,0,2,0,0.438,0,0,4-Apr
54,Jason Wu,0.429,0.985,9,0,7,5,3,0,0,0,1,3,0.429,2,0,1,0,0.556,0,0,1-Jan
16,Chip Krese,0.359,1.102,28,28,103,30,37,8,2,6,31,67,0.65,14,6,18,0,0.452,3,1,11-Aug
1,Kevin Villares,0.3,0.766,26,18,70,15,21,4,1,0,7,27,0.386,9,0,13,1,0.38,0,1,6-May
6,Luke Mahala,0.283,0.831,18,11,46,10,13,6,0,1,5,22,0.478,1,4,16,1,0.353,0,0,3-Mar
14,Frank Tonina,0.265,0.736,32,30,98,12,26,6,0,3,21,41,0.418,6,3,7,1,0.318,3,5,0 - 0
44,Quinton Sterling,0.263,0.832,26,12,57,15,15,2,0,4,7,29,0.509,4,1,13,1,0.323,0,0,10-Sep
25,Robert Savely,0.261,0.697,18,1,23,4,6,1,0,0,5,7,0.304,4,1,8,0,0.393,0,0,2-Feb
53,Aaron Wong,0.254,0.702,28,17,63,17,16,2,1,0,11,20,0.317,10,4,14,1,0.385,1,2,7-Jun
21,Evan Pravato,0.192,0.679,21,18,52,12,10,2,0,1,6,15,0.288,14,3,10,0,0.391,0,3,9-Aug
34,Garret Wolf,0.167,0.334,2,2,6,0,1,0,0,0,1,1,0.167,0,0,1,0,0.167,0,0,1-Jan
45,Drew DiSanto,0.167,0.667,7,0,6,5,1,0,0,0,2,1,0.167,4,0,4,0,0.5,0,0,1-Jan
49,Edward “E.J.” Balewitz Jr.,0.125,0.55,8,0,8,2,1,1,0,0,2,2,0.25,2,0,3,0,0.3,0,0,0 - 0
22,Jordan Fisse,0,1,12,11,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0 - 0
39,Henry Parson,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0 - 0
