#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
1,Roch Cholowsky,0.353,1.19,66,66,252,80,89,19,1,23,74,179,0.71,45,21,30,5,0.48,5,1,8-Jul
39,Mulivai Levu,0.32,0.911,66,66,272,61,87,15,2,12,85,142,0.522,24,11,48,6,0.389,7,0,6-Apr
36,Dean West,0.32,0.895,66,65,247,76,79,12,1,4,41,105,0.425,49,22,29,0,0.47,1,4,13 - 17
7,Roman Martin,0.316,0.952,65,65,237,60,75,15,1,9,61,119,0.502,39,21,53,8,0.45,3,0,7-Jun
24,AJ Salgado,0.312,0.999,64,62,234,58,73,19,4,12,56,136,0.581,36,9,55,7,0.418,3,0,13 - 14
11,Payton Brennan,0.303,0.868,50,50,195,41,59,10,4,6,41,95,0.487,16,10,44,4,0.381,2,2,14-Nov
40,Cashel Dugger,0.279,0.781,58,51,172,35,48,5,0,3,25,62,0.36,30,12,27,1,0.421,0,10,0 - 1
4,Phoenix Call,0.256,0.691,61,59,199,41,51,8,0,3,31,68,0.342,14,16,38,4,0.349,3,9,6-Feb
18,Wylan Moss,1,2,19,9,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0 - 0
9,Cameron Kim,0.286,0.651,17,13,49,6,14,1,0,0,10,15,0.306,5,0,12,0,0.345,1,0,0 - 0
5,Aidan Espinoza,0.286,0.733,13,4,21,3,6,1,0,0,7,7,0.333,3,1,5,2,0.4,0,0,0 - 0
44,Toussaint Bythewood,0.278,0.724,22,4,18,5,5,1,0,0,5,6,0.333,3,1,4,0,0.391,1,0,0 - 0
35,Logan de Groot,0.267,0.62,10,4,15,4,4,0,0,0,2,4,0.267,1,1,7,0,0.353,0,2,2-Jan
33,Blake Balsz,0.239,0.706,45,40,134,25,32,4,0,1,25,39,0.291,32,9,37,6,0.415,1,3,1-Jan
6,Grant Gray,0.207,0.624,20,8,29,5,6,0,0,1,3,9,0.31,3,2,14,1,0.314,1,1,1-Jan
15,Jarrod Hocking,0.206,0.603,39,35,131,22,27,3,0,4,22,42,0.321,14,1,30,4,0.282,3,5,3-Feb
8,Kasen Khansarinia,0,0.308,7,2,9,1,0,0,0,0,1,0,0,4,0,1,0,0.308,0,0,0 - 0
19,David Mysza,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 - 0
