#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
35,LeTrey McCollum,0.371,1.012,54,54,213,49,79,10,4,6,40,115,0.54,26,15,29,2,0.472,0,2,17 - 22
3,Rowan Kelly,0.355,0.842,41,29,110,21,39,7,0,0,17,46,0.418,11,3,16,4,0.424,1,7,7-Jun
5,Jonathan Mendez,0.314,0.951,54,54,220,39,69,17,2,11,40,123,0.559,22,7,39,5,0.392,1,0,3-Mar
12,Nate Vargas,0.306,0.919,54,54,209,31,64,17,2,10,50,115,0.55,21,5,47,6,0.369,9,0,0 - 0
31,Xavier Esquer,0.281,0.852,54,54,217,50,61,15,0,8,38,100,0.461,18,23,42,5,0.391,3,2,9-Jul
15,Cole Kosciusko,0.249,0.722,50,49,181,29,45,9,1,4,29,68,0.376,19,11,42,1,0.346,6,1,9-Sep
29,Jack Holman,0.235,0.844,46,45,170,41,40,11,1,9,33,80,0.471,29,9,30,2,0.373,1,0,7-May
38,Jimmy Zakhar,0.5,1,7,0,2,1,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0 - 0
41,Isaac Kim,0.352,0.913,30,25,108,22,38,4,0,5,29,57,0.528,5,2,22,2,0.385,2,0,0 - 1
37,Ian Fernandez,0.259,0.844,19,16,54,6,14,7,0,2,9,27,0.5,6,1,25,0,0.344,0,1,0 - 0
10,Liam Barrett,0.237,0.571,23,14,59,9,14,1,0,1,8,18,0.305,3,0,17,1,0.266,2,1,0 - 0
16,Corey Nunez,0.23,0.638,40,38,126,19,29,9,0,0,12,38,0.302,14,7,28,6,0.336,2,7,3-Feb
25,Jeremiah Crain,0.205,0.638,12,10,39,5,8,3,0,1,8,14,0.359,1,3,13,1,0.279,0,0,0 - 0
1,Reiss Calvin,0.2,0.648,36,23,80,20,16,4,0,1,6,23,0.288,13,7,24,3,0.36,0,3,5-Apr
6,Nolan Farley,0.156,0.519,18,10,32,7,5,2,0,0,6,7,0.219,5,2,11,0,0.3,1,2,0 - 0
40,Rex DeAngelis,0.133,0.576,16,11,30,2,4,1,0,0,3,5,0.167,7,7,15,0,0.409,0,1,3-Jan
9,Jack Meissner,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 - 0
18,Tyler Bremner,0,0,14,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 - 0
