#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
8,Benny Casillas,0.401,1.068,55,54,207,54,83,21,1,5,41,121,0.585,28,6,26,1,0.483,1,7,7-Jun
55,Mitch Voit,0.346,1.139,56,56,208,53,72,17,4,14,60,139,0.668,40,11,34,1,0.471,2,0,14 - 16
3,Greg Pace Jr.,0.313,1.034,54,32,99,30,31,7,1,6,21,58,0.586,21,4,32,1,0.448,1,2,11-Aug
2,Cole Caruso,0.284,0.872,56,55,201,37,57,11,1,11,39,103,0.512,23,2,36,1,0.36,2,2,4-Mar
26,Jeter Ybarra,0.283,0.833,56,53,198,37,56,12,1,7,50,91,0.46,25,6,28,6,0.373,4,0,1-Jan
21,Jonathan Kim,0.27,0.708,46,29,115,18,31,10,0,0,15,41,0.357,9,6,37,2,0.351,1,0,6-May
14,Colby Turner,0.238,0.774,45,39,143,27,34,10,1,5,34,61,0.427,18,7,31,1,0.347,2,0,1-Jan
30,Matt Spear,0.231,0.739,48,37,121,25,28,1,1,5,25,46,0.38,19,5,33,0,0.359,0,1,1-Jan
51,Joonsung Park,0.667,2.8,5,0,3,3,2,1,0,1,4,6,2,2,0,1,0,0.8,0,0,0 - 0
4,Noah Miller,0.293,0.878,37,22,82,11,24,9,0,2,18,39,0.476,13,4,6,0,0.402,3,2,0 - 0
29,Keegan O'Hearn,0.281,1.002,17,9,32,9,9,3,0,2,8,18,0.563,7,2,12,0,0.439,0,0,0 - 0
9,Robert Hamchuk,0.268,0.731,36,19,82,14,22,1,0,3,13,32,0.39,2,7,21,2,0.341,0,1,0 - 0
24,Brayden Jefferis,0.267,0.731,41,29,105,20,28,3,2,0,18,35,0.333,15,10,22,0,0.398,3,2,8-Mar
23,Will Rogers,0.264,0.841,36,15,53,13,14,4,1,2,5,26,0.491,4,3,12,1,0.35,0,0,0 - 1
18,AJ Garcia,0.25,0.5,24,1,8,4,2,0,0,0,0,2,0.25,0,0,4,0,0.25,0,0,2-Jan
0,AJ Rausch,0.23,0.626,37,24,74,13,17,0,0,1,6,20,0.27,14,1,18,0,0.356,1,2,4-Feb
15,Tyler Inge,0.217,0.609,28,17,60,17,13,3,0,0,10,16,0.267,12,0,14,1,0.342,1,1,4-Jan
7,Joe Longo,0.214,0.647,23,4,28,3,6,1,0,1,4,10,0.357,3,0,6,0,0.29,0,0,0 - 0
12,Max Debiec,0.214,0.527,26,2,14,0,3,0,0,0,0,3,0.214,2,0,1,0,0.313,0,0,0 - 0
28,Cade Ladehoff,0.19,0.633,17,8,42,10,8,0,0,2,4,14,0.333,5,2,7,0,0.3,1,0,1-Jan
35,Alfredo Velazquez,0,0,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 - 0
