#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
12,Casen Taggart,0.326,0.963,50,50,172,38,56,11,0,6,32,85,0.494,46,4,37,3,0.469,4,0,14-Oct
1,AJ Guerrero,0.321,0.945,53,53,218,42,70,16,0,10,39,116,0.532,31,4,36,4,0.413,1,0,9-May
10,Braeden Terry,0.291,0.839,47,43,151,26,44,11,0,4,33,67,0.444,22,7,29,2,0.395,5,1,5-Mar
51,Sam DeCarlo,0.285,0.825,57,57,214,42,61,5,1,8,24,92,0.43,33,6,57,5,0.395,0,0,12-Oct
24,Malakhi Knight,0.251,0.73,50,50,171,37,43,6,0,5,31,64,0.374,23,7,34,1,0.356,4,1,24 - 26
16,Trevor Kole,0.244,0.644,55,53,201,23,49,10,2,2,34,69,0.343,15,2,60,9,0.301,1,0,6-May
19,Jackson Hotchkiss,0.241,0.792,51,48,162,33,39,11,0,6,26,68,0.42,31,4,47,2,0.372,2,0,13-Sep
7,Blake Wilson,0.216,0.664,53,50,176,32,38,9,1,5,24,64,0.364,16,6,54,4,0.3,2,1,13-Sep
2,Colton Bower,0.214,0.747,50,48,159,31,34,7,0,6,23,59,0.371,19,24,57,2,0.376,3,2,9-Jun
17,Matthew Henning,0.258,0.69,18,9,31,6,8,1,0,0,3,9,0.29,8,0,12,0,0.4,1,0,0 - 1
5,Julian Sanders,0.25,0.733,24,13,60,12,15,3,0,2,13,24,0.4,3,5,7,2,0.333,1,1,0 - 0
20,Easton O'Neal,0.25,0.625,7,0,8,4,2,1,0,0,2,3,0.375,0,0,2,0,0.25,0,0,0 - 0
3,Reeve Boyd,0.25,0.75,3,0,4,0,1,1,0,0,2,2,0.5,0,0,3,0,0.25,0,0,0 - 0
23,Colin Blanchard,0.196,0.687,23,14,56,13,11,2,0,2,15,19,0.339,11,2,13,2,0.348,0,1,1-Jan
9,Cooper Whitton,0.179,0.629,42,18,67,9,12,2,0,3,10,23,0.343,7,3,31,1,0.286,0,0,8-Jun
6,Carson Crawford,0.087,0.493,13,7,23,4,2,0,0,1,4,5,0.217,5,1,14,0,0.276,0,0,3-Mar
