#,Name,AVG,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%
32,Riley Nelson,0.344,60,60,215,48,74,13,1,8,47,113,0.526,26,6,34,10,0.415,0,3,9-Jul,351,18,3,0.992
10,Jacob Humphrey,0.279,50,49,154,39,43,5,4,4,22,68,0.442,22,9,39,1,0.4,0,0,19-21,60,3,1,0.984
26,Braden Holcomb,0.275,50,44,153,32,42,4,2,9,34,77,0.503,21,5,48,4,0.378,8,1,2-Feb,86,4,1,0.989
13,Jonathan Vastine,0.27,60,60,196,44,53,6,1,9,35,88,0.449,29,0,69,4,0.358,4,3,12-Sep,59,94,3,0.981
5,Mike Mancini,0.269,49,47,145,32,39,4,1,4,24,57,0.393,28,3,43,2,0.398,0,6,18-20,45,67,6,0.949
9,Brodie Johnston,0.26,56,55,223,40,58,14,1,5,55,119,0.534,34,10,68,0,0.297,3,1,4-Feb,32,86,7,0.944
19,Rustan Rigdon,0.259,53,50,162,44,42,6,1,2,25,56,0.346,42,9,46,0,0.431,1,3,19-25,70,41,4,0.965
42,RJ Austin,0.257,59,59,230,45,59,15,4,2,42,88,0.383,21,14,47,1,0.353,3,1,22-27,138,6,2,0.986
44,Colin Barczi,0.253,55,52,198,33,50,11,1,8,39,87,0.439,12,4,47,4,0.307,7,1,2-Feb,498,24,2,0.996
16,Mac Rose,0.25,45,40,132,19,33,4,0,2,25,43,0.326,26,7,37,3,0.393,3,1,1-Jan,178,14,0,1
3,Jayden Davis,0.203,24,17,64,5,13,3,0,1,6,19,0.297,8,1,14,2,0.297,1,0,0-0,12,26,1,0.974
20,David Mendez,0.167,24,4,24,4,4,0,0,1,4,7,0.292,2,1,3,1,0.259,0,1,4-Jan,5,0,0,1
18,JD Rogers,0.167,19,4,18,6,3,2,0,1,2,8,0.444,4,0,4,0,0.304,1,0,0-0,6,0,0,1
8,Chris Maldonado,0.086,21,8,35,3,3,2,0,0,2,5,0.143,6,2,17,1,0.25,1,0,0-0,6,2,0,1
2,RJ Hamilton,0,13,0,3,3,0,0,0,0,0,0,0,1,0,2,0,0.25,0,0,3-Feb,1,0,0,1
51,Ryker Waite,0,8,0,3,1,0,0,0,0,1,0,0,2,1,2,0,0.5,0,0,1-Jan,1,4,0,1
